Country,Year,fertility,region,,,,,
Algeria,1971,7.622,Middle East & North Africa,,,,,
Algeria,1972,7.591,Middle East & North Africa,,,,,
Algeria,1973,7.548,Middle East & North Africa,,,,,
Algeria,1974,7.492,Middle East & North Africa,,,,,
Algeria,1975,7.422,Middle East & North Africa,,,,,
Algeria,1976,7.339,Middle East & North Africa,,,,,
Algeria,1977,7.244,Middle East & North Africa,,,,,
Algeria,1978,7.138,Middle East & North Africa,,,,,
Algeria,1979,7.021,Middle East & North Africa,,,,,
Algeria,1980,6.889,Middle East & North Africa,,,,,
Algeria,1981,6.741,Middle East & North Africa,,,,,
Algeria,1982,6.576,Middle East & North Africa,,,,,
Algeria,1983,6.392,Middle East & North Africa,,,,,
Algeria,1984,6.192,Middle East & North Africa,,,,,
Algeria,1985,5.976,Middle East & North Africa,,,,,
Algeria,1986,5.747,Middle East & North Africa,,,,,
Algeria,1987,5.508,Middle East & North Africa,,,,,
Algeria,1988,5.263,Middle East & North Africa,,,,,
Algeria,1989,5.014,Middle East & North Africa,,,,,
Algeria,1990,4.761,Middle East & North Africa,,,,,
Algeria,1991,4.503,Middle East & North Africa,,,,,
Algeria,1992,4.238,Middle East & North Africa,,,,,
Algeria,1993,3.971,Middle East & North Africa,,,,,
Algeria,1994,3.705,Middle East & North Africa,,,,,
Algeria,1995,3.449,Middle East & North Africa,,,,,
Algeria,1996,3.207,Middle East & North Africa,,,,,
Algeria,1997,2.987,Middle East & North Africa,,,,,
Algeria,1998,2.794,Middle East & North Africa,,,,,
Algeria,1999,2.634,Middle East & North Africa,,,,,
Algeria,2000,2.514,Middle East & North Africa,,,,,
Algeria,2001,2.439,Middle East & North Africa,,,,,
Algeria,2002,2.407,Middle East & North Africa,,,,,
Algeria,2003,2.412,Middle East & North Africa,,,,,
Algeria,2004,2.448,Middle East & North Africa,,,,,
Algeria,2005,2.507,Middle East & North Africa,,,,,
Algeria,2006,2.58,Middle East & North Africa,,,,,
Algeria,2007,2.656,Middle East & North Africa,,,,,
Algeria,2008,2.725,Middle East & North Africa,,,,,
Algeria,2009,2.781,Middle East & North Africa,,,,,
Algeria,2010,2.817,Middle East & North Africa,,,,,
Algeria,2011,2.829,Middle East & North Africa,,,,,
Algeria,2012,2.82,Middle East & North Africa,,,,,
Algeria,2013,2.795,Middle East & North Africa,,,,,
Angola,1964,7.425,Sub-Saharan Africa,,,,,
Angola,1965,7.43,Sub-Saharan Africa,,,,,
Angola,1966,7.422,Sub-Saharan Africa,,,,,
Angola,1967,7.403,Sub-Saharan Africa,,,,,
Angola,1968,7.375,Sub-Saharan Africa,,,,,
Angola,1969,7.339,Sub-Saharan Africa,,,,,
Angola,1970,7.301,Sub-Saharan Africa,,,,,
Angola,1971,7.264,Sub-Saharan Africa,,,,,
Angola,1972,7.232,Sub-Saharan Africa,,,,,
Angola,1973,7.208,Sub-Saharan Africa,,,,,
Angola,1974,7.192,Sub-Saharan Africa,,,,,
Angola,1975,7.185,Sub-Saharan Africa,,,,,
Angola,1976,7.186,Sub-Saharan Africa,,,,,
Angola,1977,7.189,Sub-Saharan Africa,,,,,
Angola,1978,7.194,Sub-Saharan Africa,,,,,
Angola,1979,7.197,Sub-Saharan Africa,,,,,
Angola,1980,7.2,Sub-Saharan Africa,,,,,
Angola,1981,7.201,Sub-Saharan Africa,,,,,
Angola,1982,7.203,Sub-Saharan Africa,,,,,
Angola,1983,7.205,Sub-Saharan Africa,,,,,
Angola,1984,7.207,Sub-Saharan Africa,,,,,
Angola,1985,7.208,Sub-Saharan Africa,,,,,
Angola,1986,7.206,Sub-Saharan Africa,,,,,
Angola,1987,7.202,Sub-Saharan Africa,,,,,
Angola,1988,7.194,Sub-Saharan Africa,,,,,
Angola,1989,7.182,Sub-Saharan Africa,,,,,
Angola,1990,7.165,Sub-Saharan Africa,,,,,
Angola,1991,7.143,Sub-Saharan Africa,,,,,
Angola,1992,7.116,Sub-Saharan Africa,,,,,
Angola,1993,7.087,Sub-Saharan Africa,,,,,
Angola,1994,7.054,Sub-Saharan Africa,,,,,
Angola,1995,7.019,Sub-Saharan Africa,,,,,
Angola,1996,6.984,Sub-Saharan Africa,,,,,
Angola,1997,6.949,Sub-Saharan Africa,,,,,
Angola,1998,6.913,Sub-Saharan Africa,,,,,
Angola,1999,6.878,Sub-Saharan Africa,,,,,
Angola,2000,6.844,Sub-Saharan Africa,,,,,
Angola,2001,6.811,Sub-Saharan Africa,,,,,
Angola,2002,6.778,Sub-Saharan Africa,,,,,
Angola,2003,6.743,Sub-Saharan Africa,,,,,
Angola,2004,6.704,Sub-Saharan Africa,,,,,
Angola,2005,6.657,Sub-Saharan Africa,,,,,
Angola,2006,6.598,Sub-Saharan Africa,,,,,
Angola,2007,6.523,Sub-Saharan Africa,,,,,
Angola,2008,6.434,Sub-Saharan Africa,,,,,
Angola,2009,6.331,Sub-Saharan Africa,,,,,
Angola,2010,6.218,Sub-Saharan Africa,,,,,
Angola,2011,6.099,Sub-Saharan Africa,,,,,
Angola,2012,5.979,Sub-Saharan Africa,,,,,
Angola,2013,5.863,Sub-Saharan Africa,,,,,
Antigua and Barbuda,1964,4.25,America,,,,,
Antigua and Barbuda,1965,4.193,America,,,,,
Antigua and Barbuda,1966,4.125,America,,,,,
Antigua and Barbuda,1967,4.042,America,,,,,
Antigua and Barbuda,1968,3.942,America,,,,,
Antigua and Barbuda,1969,3.824,America,,,,,
Antigua and Barbuda,1970,3.684,America,,,,,
Antigua and Barbuda,1971,3.517,America,,,,,
Antigua and Barbuda,1972,3.328,America,,,,,
Antigua and Barbuda,1973,3.122,America,,,,,
Antigua and Barbuda,1974,2.908,America,,,,,
Antigua and Barbuda,1975,2.701,America,,,,,
Antigua and Barbuda,1976,2.514,America,,,,,
Antigua and Barbuda,1977,2.358,America,,,,,
Antigua and Barbuda,1978,2.239,America,,,,,
Antigua and Barbuda,1979,2.159,America,,,,,
Antigua and Barbuda,1980,2.115,America,,,,,
Antigua and Barbuda,1981,2.098,America,,,,,
Antigua and Barbuda,1982,2.096,America,,,,,
Antigua and Barbuda,1983,2.098,America,,,,,
Antigua and Barbuda,1984,2.098,America,,,,,
Antigua and Barbuda,1985,2.092,America,,,,,
Antigua and Barbuda,1986,2.082,America,,,,,
Antigua and Barbuda,1987,2.07,America,,,,,
Antigua and Barbuda,1988,2.062,America,,,,,
Antigua and Barbuda,1989,2.058,America,,,,,
Antigua and Barbuda,1990,2.061,America,,,,,
Antigua and Barbuda,1991,2.073,America,,,,,
Antigua and Barbuda,1992,2.096,America,,,,,
Antigua and Barbuda,1993,2.128,America,,,,,
Antigua and Barbuda,1994,2.166,America,,,,,
Antigua and Barbuda,1995,2.208,America,,,,,
Antigua and Barbuda,1996,2.248,America,,,,,
Antigua and Barbuda,1997,2.281,America,,,,,
Antigua and Barbuda,1998,2.304,America,,,,,
Antigua and Barbuda,1999,2.316,America,,,,,
Antigua and Barbuda,2000,2.316,America,,,,,
Antigua and Barbuda,2001,2.305,America,,,,,
Antigua and Barbuda,2002,2.288,America,,,,,
Antigua and Barbuda,2003,2.268,America,,,,,
Antigua and Barbuda,2004,2.246,America,,,,,
Antigua and Barbuda,2005,2.224,America,,,,,
Antigua and Barbuda,2006,2.203,America,,,,,
Antigua and Barbuda,2007,2.183,America,,,,,
Antigua and Barbuda,2008,2.164,America,,,,,
Antigua and Barbuda,2009,2.146,America,,,,,
Antigua and Barbuda,2010,2.13,America,,,,,
Antigua and Barbuda,2011,2.115,America,,,,,
Antigua and Barbuda,2012,2.102,America,,,,,
Antigua and Barbuda,2013,2.089,America,,,,,
Argentina,1964,3.068,America,,,,,
Argentina,1965,3.058,America,,,,,
Argentina,1966,3.051,America,,,,,
Argentina,1967,3.048,America,,,,,
Argentina,1968,3.049,America,,,,,
Argentina,1969,3.056,America,,,,,
Argentina,1970,3.073,America,,,,,
Argentina,1971,3.104,America,,,,,
Argentina,1972,3.148,America,,,,,
Argentina,1973,3.203,America,,,,,
Argentina,1974,3.264,America,,,,,
Argentina,1975,3.321,America,,,,,
Argentina,1976,3.366,America,,,,,
Argentina,1977,3.391,America,,,,,
Argentina,1978,3.391,America,,,,,
Argentina,1979,3.368,America,,,,,
Argentina,1980,3.325,America,,,,,
Argentina,1981,3.27,America,,,,,
Argentina,1982,3.213,America,,,,,
Argentina,1983,3.163,America,,,,,
Argentina,1984,3.123,America,,,,,
Argentina,1985,3.093,America,,,,,
Argentina,1986,3.073,America,,,,,
Argentina,1987,3.056,America,,,,,
Argentina,1988,3.037,America,,,,,
Argentina,1989,3.016,America,,,,,
Argentina,1990,2.989,America,,,,,
Argentina,1991,2.956,America,,,,,
Argentina,1992,2.918,America,,,,,
Argentina,1993,2.875,America,,,,,
Argentina,1994,2.827,America,,,,,
Argentina,1995,2.774,America,,,,,
Argentina,1996,2.717,America,,,,,
Argentina,1997,2.657,America,,,,,
Argentina,1998,2.596,America,,,,,
Argentina,1999,2.535,America,,,,,
Argentina,2000,2.477,America,,,,,
Argentina,2001,2.424,America,,,,,
Argentina,2002,2.379,America,,,,,
Argentina,2003,2.34,America,,,,,
Argentina,2004,2.31,America,,,,,
Argentina,2005,2.286,America,,,,,
Argentina,2006,2.268,America,,,,,
Argentina,2007,2.254,America,,,,,
Argentina,2008,2.241,America,,,,,
Argentina,2009,2.228,America,,,,,
Argentina,2010,2.215,America,,,,,
Argentina,2011,2.201,America,,,,,
Argentina,2012,2.188,America,,,,,
Argentina,2013,2.175,America,,,,,
Armenia,1964,4.161,Europe & Central Asia,,,,,
Armenia,1965,3.979,Europe & Central Asia,,,,,
Armenia,1966,3.788,Europe & Central Asia,,,,,
Armenia,1967,3.606,Europe & Central Asia,,,,,
Armenia,1968,3.447,Europe & Central Asia,,,,,
Armenia,1969,3.314,Europe & Central Asia,,,,,
Armenia,1970,3.208,Europe & Central Asia,,,,,
Armenia,1971,3.118,Europe & Central Asia,,,,,
Armenia,1972,3.032,Europe & Central Asia,,,,,
Armenia,1973,2.942,Europe & Central Asia,,,,,
Armenia,1974,2.846,Europe & Central Asia,,,,,
Armenia,1975,2.745,Europe & Central Asia,,,,,
Armenia,1976,2.646,Europe & Central Asia,,,,,
Armenia,1977,2.555,Europe & Central Asia,,,,,
Armenia,1978,2.479,Europe & Central Asia,,,,,
Armenia,1979,2.421,Europe & Central Asia,,,,,
Armenia,1980,2.385,Europe & Central Asia,,,,,
Armenia,1981,2.373,Europe & Central Asia,,,,,
Armenia,1982,2.381,Europe & Central Asia,,,,,
Armenia,1983,2.406,Europe & Central Asia,,,,,
Armenia,1984,2.441,Europe & Central Asia,,,,,
Armenia,1985,2.481,Europe & Central Asia,,,,,
Armenia,1986,2.519,Europe & Central Asia,,,,,
Armenia,1987,2.549,Europe & Central Asia,,,,,
Armenia,1988,2.566,Europe & Central Asia,,,,,
Armenia,1989,2.565,Europe & Central Asia,,,,,
Armenia,1990,2.538,Europe & Central Asia,,,,,
Armenia,1991,2.482,Europe & Central Asia,,,,,
Armenia,1992,2.399,Europe & Central Asia,,,,,
Armenia,1993,2.295,Europe & Central Asia,,,,,
Armenia,1994,2.176,Europe & Central Asia,,,,,
Armenia,1995,1.8,Europe & Central Asia,,,,,
Armenia,1996,1.8,Europe & Central Asia,,,,,
Armenia,1997,1.7,Europe & Central Asia,,,,,
Armenia,1998,1.5,Europe & Central Asia,,,,,
Armenia,1999,1.4,Europe & Central Asia,,,,,
Armenia,2000,1.3,Europe & Central Asia,,,,,
Armenia,2001,1.2,Europe & Central Asia,,,,,
Armenia,2002,1.2,Europe & Central Asia,,,,,
Armenia,2003,1.4,Europe & Central Asia,,,,,
Armenia,2004,1.4,Europe & Central Asia,,,,,
Armenia,2005,1.4,Europe & Central Asia,,,,,
Armenia,2006,1.3,Europe & Central Asia,,,,,
Armenia,2007,1.4,Europe & Central Asia,,,,,
Armenia,2008,1.4,Europe & Central Asia,,,,,
Armenia,2009,1.6,Europe & Central Asia,,,,,
Armenia,2010,1.55,Europe & Central Asia,,,,,
Armenia,2011,1.5,Europe & Central Asia,,,,,
Armenia,2012,1.739,Europe & Central Asia,,,,,
Armenia,2013,1.74,Europe & Central Asia,,,,,
Aruba,1964,4.059,America,,,,,
Aruba,1965,3.842,America,,,,,
Aruba,1966,3.625,America,,,,,
Aruba,1967,3.417,America,,,,,
Aruba,1968,3.226,America,,,,,
Aruba,1969,3.054,America,,,,,
Aruba,1970,2.908,America,,,,,
Aruba,1971,2.788,America,,,,,
Aruba,1972,2.691,America,,,,,
Aruba,1973,2.613,America,,,,,
Aruba,1974,2.552,America,,,,,
Aruba,1975,2.506,America,,,,,
Aruba,1976,2.472,America,,,,,
Aruba,1977,2.446,America,,,,,
Aruba,1978,2.425,America,,,,,
Aruba,1979,2.408,America,,,,,
Aruba,1980,2.392,America,,,,,
Aruba,1981,2.377,America,,,,,
Aruba,1982,2.364,America,,,,,
Aruba,1983,2.353,America,,,,,
Aruba,1984,2.342,America,,,,,
Aruba,1985,2.332,America,,,,,
Aruba,1986,2.32,America,,,,,
Aruba,1987,2.307,America,,,,,
Aruba,1988,2.291,America,,,,,
Aruba,1989,2.272,America,,,,,
Aruba,1990,2.249,America,,,,,
Aruba,1991,2.221,America,,,,,
Aruba,1992,2.187,America,,,,,
Aruba,1993,2.149,America,,,,,
Aruba,1994,2.108,America,,,,,
Aruba,1995,2.064,America,,,,,
Aruba,1996,2.021,America,,,,,
Aruba,1997,1.979,America,,,,,
Aruba,1998,1.94,America,,,,,
Aruba,1999,1.905,America,,,,,
Aruba,2000,1.874,America,,,,,
Aruba,2001,1.848,America,,,,,
Aruba,2002,1.825,America,,,,,
Aruba,2003,1.805,America,,,,,
Aruba,2004,1.786,America,,,,,
Aruba,2005,1.769,America,,,,,
Aruba,2006,1.754,America,,,,,
Aruba,2007,1.739,America,,,,,
Aruba,2008,1.726,America,,,,,
Aruba,2009,1.713,America,,,,,
Aruba,2010,1.701,America,,,,,
Aruba,2011,1.69,America,,,,,
Aruba,2012,1.681,America,,,,,
Aruba,2013,1.673,America,,,,,
Australia,1964,3.154,East Asia & Pacific,,,,,
Australia,1965,2.973,East Asia & Pacific,,,,,
Australia,1966,2.885,East Asia & Pacific,,,,,
Australia,1967,2.847,East Asia & Pacific,,,,,
Australia,1968,2.886,East Asia & Pacific,,,,,
Australia,1969,2.887,East Asia & Pacific,,,,,
Australia,1970,2.859,East Asia & Pacific,,,,,
Australia,1971,2.945,East Asia & Pacific,,,,,
Australia,1972,2.743,East Asia & Pacific,,,,,
Australia,1973,2.491,East Asia & Pacific,,,,,
Australia,1974,2.321,East Asia & Pacific,,,,,
Australia,1975,2.148,East Asia & Pacific,,,,,
Australia,1976,2.06,East Asia & Pacific,,,,,
Australia,1977,2.007,East Asia & Pacific,,,,,
Australia,1978,1.949,East Asia & Pacific,,,,,
Australia,1979,1.907,East Asia & Pacific,,,,,
Australia,1980,1.891,East Asia & Pacific,,,,,
Australia,1981,1.935,East Asia & Pacific,,,,,
Australia,1982,1.929,East Asia & Pacific,,,,,
Australia,1983,1.924,East Asia & Pacific,,,,,
Australia,1984,1.84,East Asia & Pacific,,,,,
Australia,1985,1.923,East Asia & Pacific,,,,,
Australia,1986,1.868,East Asia & Pacific,,,,,
Australia,1987,1.845,East Asia & Pacific,,,,,
Australia,1988,1.831,East Asia & Pacific,,,,,
Australia,1989,1.838,East Asia & Pacific,,,,,
Australia,1990,1.902,East Asia & Pacific,,,,,
Australia,1991,1.849,East Asia & Pacific,,,,,
Australia,1992,1.888,East Asia & Pacific,,,,,
Australia,1993,1.859,East Asia & Pacific,,,,,
Australia,1994,1.842,East Asia & Pacific,,,,,
Australia,1995,1.822,East Asia & Pacific,,,,,
Australia,1996,1.796,East Asia & Pacific,,,,,
Australia,1997,1.778,East Asia & Pacific,,,,,
Australia,1998,1.762,East Asia & Pacific,,,,,
Australia,1999,1.755,East Asia & Pacific,,,,,
Australia,2000,1.756,East Asia & Pacific,,,,,
Australia,2001,1.729,East Asia & Pacific,,,,,
Australia,2002,1.756,East Asia & Pacific,,,,,
Australia,2003,1.748,East Asia & Pacific,,,,,
Australia,2004,1.763,East Asia & Pacific,,,,,
Australia,2005,1.791,East Asia & Pacific,,,,,
Australia,2006,1.817,East Asia & Pacific,,,,,
Australia,2007,1.92,East Asia & Pacific,,,,,
Australia,2008,1.956,East Asia & Pacific,,,,,
Australia,2009,1.903,East Asia & Pacific,,,,,
Australia,2010,1.886,East Asia & Pacific,,,,,
Australia,2011,1.884,East Asia & Pacific,,,,,
Australia,2012,1.887,East Asia & Pacific,,,,,
Australia,2013,1.882,East Asia & Pacific,,,,,
Austria,1964,2.795,Europe & Central Asia,,,,,
Austria,1965,2.703,Europe & Central Asia,,,,,
Austria,1966,2.663,Europe & Central Asia,,,,,
Austria,1967,2.621,Europe & Central Asia,,,,,
Austria,1968,2.586,Europe & Central Asia,,,,,
Austria,1969,2.488,Europe & Central Asia,,,,,
Austria,1970,2.292,Europe & Central Asia,,,,,
Austria,1971,2.2,Europe & Central Asia,,,,,
Austria,1972,2.085,Europe & Central Asia,,,,,
Austria,1973,1.938,Europe & Central Asia,,,,,
Austria,1974,1.908,Europe & Central Asia,,,,,
Austria,1975,1.827,Europe & Central Asia,,,,,
Austria,1976,1.688,Europe & Central Asia,,,,,
Austria,1977,1.631,Europe & Central Asia,,,,,
Austria,1978,1.604,Europe & Central Asia,,,,,
Austria,1979,1.598,Europe & Central Asia,,,,,
Austria,1980,1.652,Europe & Central Asia,,,,,
Austria,1981,1.674,Europe & Central Asia,,,,,
Austria,1982,1.661,Europe & Central Asia,,,,,
Austria,1983,1.559,Europe & Central Asia,,,,,
Austria,1984,1.522,Europe & Central Asia,,,,,
Austria,1985,1.474,Europe & Central Asia,,,,,
Austria,1986,1.449,Europe & Central Asia,,,,,
Austria,1987,1.432,Europe & Central Asia,,,,,
Austria,1988,1.447,Europe & Central Asia,,,,,
Austria,1989,1.446,Europe & Central Asia,,,,,
Austria,1990,1.457,Europe & Central Asia,,,,,
Austria,1991,1.507,Europe & Central Asia,,,,,
Austria,1992,1.505,Europe & Central Asia,,,,,
Austria,1993,1.501,Europe & Central Asia,,,,,
Austria,1994,1.465,Europe & Central Asia,,,,,
Austria,1995,1.424,Europe & Central Asia,,,,,
Austria,1996,1.446,Europe & Central Asia,,,,,
Austria,1997,1.393,Europe & Central Asia,,,,,
Austria,1998,1.37,Europe & Central Asia,,,,,
Austria,1999,1.34,Europe & Central Asia,,,,,
Austria,2000,1.365,Europe & Central Asia,,,,,
Austria,2001,1.33,Europe & Central Asia,,,,,
Austria,2002,1.393,Europe & Central Asia,,,,,
Austria,2003,1.376,Europe & Central Asia,,,,,
Austria,2004,1.419,Europe & Central Asia,,,,,
Austria,2005,1.406,Europe & Central Asia,,,,,
Austria,2006,1.405,Europe & Central Asia,,,,,
Austria,2007,1.379,Europe & Central Asia,,,,,
Austria,2008,1.411,Europe & Central Asia,,,,,
Austria,2009,1.391,Europe & Central Asia,,,,,
Austria,2010,1.438,Europe & Central Asia,,,,,
Austria,2011,1.443,Europe & Central Asia,,,,,
Austria,2012,1.457,Europe & Central Asia,,,,,
Austria,2013,1.471,Europe & Central Asia,,,,,
Azerbaijan,1964,5.468,Europe & Central Asia,,,,,
Azerbaijan,1965,5.352,Europe & Central Asia,,,,,
Azerbaijan,1966,5.21,Europe & Central Asia,,,,,
Azerbaijan,1967,5.056,Europe & Central Asia,,,,,
Azerbaijan,1968,4.901,Europe & Central Asia,,,,,
Azerbaijan,1969,4.753,Europe & Central Asia,,,,,
Azerbaijan,1970,4.612,Europe & Central Asia,,,,,
Azerbaijan,1971,4.479,Europe & Central Asia,,,,,
Azerbaijan,1972,4.348,Europe & Central Asia,,,,,
Azerbaijan,1973,4.216,Europe & Central Asia,,,,,
Azerbaijan,1974,4.084,Europe & Central Asia,,,,,
Azerbaijan,1975,3.95,Europe & Central Asia,,,,,
Azerbaijan,1976,3.814,Europe & Central Asia,,,,,
Azerbaijan,1977,3.676,Europe & Central Asia,,,,,
Azerbaijan,1978,3.539,Europe & Central Asia,,,,,
Azerbaijan,1979,3.407,Europe & Central Asia,,,,,
Azerbaijan,1980,3.286,Europe & Central Asia,,,,,
Azerbaijan,1981,3.179,Europe & Central Asia,,,,,
Azerbaijan,1982,3.092,Europe & Central Asia,,,,,
Azerbaijan,1983,3.026,Europe & Central Asia,,,,,
Azerbaijan,1984,2.98,Europe & Central Asia,,,,,
Azerbaijan,1985,2.954,Europe & Central Asia,,,,,
Azerbaijan,1986,2.947,Europe & Central Asia,,,,,
Azerbaijan,1987,2.953,Europe & Central Asia,,,,,
Azerbaijan,1988,2.964,Europe & Central Asia,,,,,
Azerbaijan,1989,2.973,Europe & Central Asia,,,,,
Azerbaijan,1990,2.969,Europe & Central Asia,,,,,
Azerbaijan,1991,2.94,Europe & Central Asia,,,,,
Azerbaijan,1992,2.883,Europe & Central Asia,,,,,
Azerbaijan,1993,2.799,Europe & Central Asia,,,,,
Azerbaijan,1994,2.688,Europe & Central Asia,,,,,
Azerbaijan,1995,2.561,Europe & Central Asia,,,,,
Azerbaijan,1996,2.427,Europe & Central Asia,,,,,
Azerbaijan,1997,2.301,Europe & Central Asia,,,,,
Azerbaijan,1998,2.193,Europe & Central Asia,,,,,
Azerbaijan,1999,2.108,Europe & Central Asia,,,,,
Azerbaijan,2000,2.049,Europe & Central Asia,,,,,
Azerbaijan,2001,2.014,Europe & Central Asia,,,,,
Azerbaijan,2002,1.997,Europe & Central Asia,,,,,
Azerbaijan,2003,1.989,Europe & Central Asia,,,,,
Azerbaijan,2004,1.987,Europe & Central Asia,,,,,
Azerbaijan,2005,1.988,Europe & Central Asia,,,,,
Azerbaijan,2006,1.989,Europe & Central Asia,,,,,
Azerbaijan,2007,1.989,Europe & Central Asia,,,,,
Azerbaijan,2008,1.986,Europe & Central Asia,,,,,
Azerbaijan,2009,1.98,Europe & Central Asia,,,,,
Azerbaijan,2010,1.97,Europe & Central Asia,,,,,
Azerbaijan,2011,1.956,Europe & Central Asia,,,,,
Azerbaijan,2012,1.94,Europe & Central Asia,,,,,
Azerbaijan,2013,1.924,Europe & Central Asia,,,,,
Bahamas,1964,4.22,America,,,,,
Bahamas,1965,4.057,America,,,,,
Bahamas,1966,3.893,America,,,,,
Bahamas,1967,3.75,America,,,,,
Bahamas,1968,3.641,America,,,,,
