gdp,region,Country,Year
11030,Middle East & North Africa,Algeria,1985
10722,Middle East & North Africa,Algeria,1986
10378,Middle East & North Africa,Algeria,1987
9888,Middle East & North Africa,Algeria,1988
10115,Middle East & North Africa,Algeria,1989
10113,Middle East & North Africa,Algeria,1990
9748,Middle East & North Africa,Algeria,1991
9693,Middle East & North Africa,Algeria,1992
9279,Middle East & North Africa,Algeria,1993
9006,Middle East & North Africa,Algeria,1994
9168,Middle East & North Africa,Algeria,1995
9375,Middle East & North Africa,Algeria,1996
9322,Middle East & North Africa,Algeria,1997
9646,Middle East & North Africa,Algeria,1998
9810,Middle East & North Africa,Algeria,1999
9885,Middle East & North Africa,Algeria,2000
10203,Middle East & North Africa,Algeria,2001
10634,Middle East & North Africa,Algeria,2002
11251,Middle East & North Africa,Algeria,2003
11575,Middle East & North Africa,Algeria,2004
12077,Middle East & North Africa,Algeria,2005
12088,Middle East & North Africa,Algeria,2006
12289,Middle East & North Africa,Algeria,2007
12314,Middle East & North Africa,Algeria,2008
12285,Middle East & North Africa,Algeria,2009
12494,Middle East & North Africa,Algeria,2010
12606,Middle East & North Africa,Algeria,2011
12779,Middle East & North Africa,Algeria,2012
12893,Middle East & North Africa,Algeria,2013
4573,Sub-Saharan Africa,Angola,1964
4840,Sub-Saharan Africa,Angola,1965
5043,Sub-Saharan Africa,Angola,1966
5253,Sub-Saharan Africa,Angola,1967
5093,Sub-Saharan Africa,Angola,1968
5158,Sub-Saharan Africa,Angola,1969
5397,Sub-Saharan Africa,Angola,1970
5614,Sub-Saharan Africa,Angola,1971
5511,Sub-Saharan Africa,Angola,1972
5831,Sub-Saharan Africa,Angola,1973
5880,Sub-Saharan Africa,Angola,1974
5454,Sub-Saharan Africa,Angola,1975
5044,Sub-Saharan Africa,Angola,1976
4956,Sub-Saharan Africa,Angola,1977
4572,Sub-Saharan Africa,Angola,1978
4458,Sub-Saharan Africa,Angola,1979
4443,Sub-Saharan Africa,Angola,1980
4110,Sub-Saharan Africa,Angola,1981
3970,Sub-Saharan Africa,Angola,1982
3996,Sub-Saharan Africa,Angola,1983
4099,Sub-Saharan Africa,Angola,1984
4117,Sub-Saharan Africa,Angola,1985
4135,Sub-Saharan Africa,Angola,1986
4319,Sub-Saharan Africa,Angola,1987
4455,Sub-Saharan Africa,Angola,1988
4365,Sub-Saharan Africa,Angola,1989
4232,Sub-Saharan Africa,Angola,1990
4056,Sub-Saharan Africa,Angola,1991
3656,Sub-Saharan Africa,Angola,1992
2663,Sub-Saharan Africa,Angola,1993
2669,Sub-Saharan Africa,Angola,1994
2859,Sub-Saharan Africa,Angola,1995
3091,Sub-Saharan Africa,Angola,1996
3246,Sub-Saharan Africa,Angola,1997
3376,Sub-Saharan Africa,Angola,1998
3389,Sub-Saharan Africa,Angola,1999
3387,Sub-Saharan Africa,Angola,2000
3417,Sub-Saharan Africa,Angola,2001
3759,Sub-Saharan Africa,Angola,2002
3819,Sub-Saharan Africa,Angola,2003
4087,Sub-Saharan Africa,Angola,2004
4667,Sub-Saharan Africa,Angola,2005
5445,Sub-Saharan Africa,Angola,2006
6453,Sub-Saharan Africa,Angola,2007
7103,Sub-Saharan Africa,Angola,2008
7039,Sub-Saharan Africa,Angola,2009
7047,Sub-Saharan Africa,Angola,2010
7094,Sub-Saharan Africa,Angola,2011
7230,Sub-Saharan Africa,Angola,2012
7488,Sub-Saharan Africa,Angola,2013
5008,America,Antigua and Barbuda,1964
5133,America,Antigua and Barbuda,1965
5262,America,Antigua and Barbuda,1966
5393,America,Antigua and Barbuda,1967
5528,America,Antigua and Barbuda,1968
5666,America,Antigua and Barbuda,1969
5807,America,Antigua and Barbuda,1970
6088,America,Antigua and Barbuda,1971
6378,America,Antigua and Barbuda,1972
6770,America,Antigua and Barbuda,1973
6888,America,Antigua and Barbuda,1974
6458,America,Antigua and Barbuda,1975
5885,America,Antigua and Barbuda,1976
6371,America,Antigua and Barbuda,1977
6691,America,Antigua and Barbuda,1978
7536,America,Antigua and Barbuda,1979
8169,America,Antigua and Barbuda,1980
8689,America,Antigua and Barbuda,1981
8827,America,Antigua and Barbuda,1982
9540,America,Antigua and Barbuda,1983
10388,America,Antigua and Barbuda,1984
11383,America,Antigua and Barbuda,1985
12600,America,Antigua and Barbuda,1986
14027,America,Antigua and Barbuda,1987
15441,America,Antigua and Barbuda,1988
16611,America,Antigua and Barbuda,1989
17154,America,Antigua and Barbuda,1990
17361,America,Antigua and Barbuda,1991
17226,America,Antigua and Barbuda,1992
17753,America,Antigua and Barbuda,1993
18400,America,Antigua and Barbuda,1994
17167,America,Antigua and Barbuda,1995
17830,America,Antigua and Barbuda,1996
18186,America,Antigua and Barbuda,1997
18483,America,Antigua and Barbuda,1998
18780,America,Antigua and Barbuda,1999
19319,America,Antigua and Barbuda,2000
18388,America,Antigua and Barbuda,2001
18676,America,Antigua and Barbuda,2002
19566,America,Antigua and Barbuda,2003
20395,America,Antigua and Barbuda,2004
21414,America,Antigua and Barbuda,2005
24016,America,Antigua and Barbuda,2006
26008,America,Antigua and Barbuda,2007
25736,America,Antigua and Barbuda,2008
22389,America,Antigua and Barbuda,2009
20567,America,Antigua and Barbuda,2010
19988,America,Antigua and Barbuda,2011
20577,America,Antigua and Barbuda,2012
20353,America,Antigua and Barbuda,2013
8227,America,Argentina,1964
8818,America,Argentina,1965
8709,America,Argentina,1966
8782,America,Argentina,1967
9003,America,Argentina,1968
9610,America,Argentina,1969
9951,America,Argentina,1970
10167,America,Argentina,1971
10209,America,Argentina,1972
10419,America,Argentina,1973
10809,America,Argentina,1974
10571,America,Argentina,1975
10408,America,Argentina,1976
10918,America,Argentina,1977
10406,America,Argentina,1978
10976,America,Argentina,1979
10982,America,Argentina,1980
10221,America,Argentina,1981
9765,America,Argentina,1982
10030,America,Argentina,1983
10102,America,Argentina,1984
9262,America,Argentina,1985
9810,America,Argentina,1986
9936,America,Argentina,1987
9620,America,Argentina,1988
8820,America,Argentina,1989
8539,America,Argentina,1990
9333,America,Argentina,1991
10130,America,Argentina,1992
10602,America,Argentina,1993
11108,America,Argentina,1994
10673,America,Argentina,1995
11150,America,Argentina,1996
11935,America,Argentina,1997
12268,America,Argentina,1998
11722,America,Argentina,1999
11504,America,Argentina,2000
10875,America,Argentina,2001
9574,America,Argentina,2002
10318,America,Argentina,2003
11135,America,Argentina,2004
12039,America,Argentina,2005
12913,America,Argentina,2006
13873,America,Argentina,2007
14646,America,Argentina,2008
14605,America,Argentina,2009
15765,America,Argentina,2010
16972,America,Argentina,2011
17101,America,Argentina,2012
17629,America,Argentina,2013
2823,Europe & Central Asia,Armenia,1964
2945,Europe & Central Asia,Armenia,1965
3051,Europe & Central Asia,Armenia,1966
3151,Europe & Central Asia,Armenia,1967
3300,Europe & Central Asia,Armenia,1968
3313,Europe & Central Asia,Armenia,1969
3533,Europe & Central Asia,Armenia,1970
3589,Europe & Central Asia,Armenia,1971
3571,Europe & Central Asia,Armenia,1972
3832,Europe & Central Asia,Armenia,1973
3871,Europe & Central Asia,Armenia,1974
3810,Europe & Central Asia,Armenia,1975
3917,Europe & Central Asia,Armenia,1976
3937,Europe & Central Asia,Armenia,1977
3964,Europe & Central Asia,Armenia,1978
3877,Europe & Central Asia,Armenia,1979
3815,Europe & Central Asia,Armenia,1980
3783,Europe & Central Asia,Armenia,1981
3809,Europe & Central Asia,Armenia,1982
3862,Europe & Central Asia,Armenia,1983
3840,Europe & Central Asia,Armenia,1984
3805,Europe & Central Asia,Armenia,1985
3890,Europe & Central Asia,Armenia,1986
3872,Europe & Central Asia,Armenia,1987
3886,Europe & Central Asia,Armenia,1988
3889,Europe & Central Asia,Armenia,1989
3736,Europe & Central Asia,Armenia,1990
3329,Europe & Central Asia,Armenia,1991
1973,Europe & Central Asia,Armenia,1992
1842,Europe & Central Asia,Armenia,1993
1988,Europe & Central Asia,Armenia,1994
2169,Europe & Central Asia,Armenia,1995
2333,Europe & Central Asia,Armenia,1996
2438,Europe & Central Asia,Armenia,1997
2636,Europe & Central Asia,Armenia,1998
2740,Europe & Central Asia,Armenia,1999
2919,Europe & Central Asia,Armenia,2000
3214,Europe & Central Asia,Armenia,2001
3654,Europe & Central Asia,Armenia,2002
4182,Europe & Central Asia,Armenia,2003
4635,Europe & Central Asia,Armenia,2004
5297,Europe & Central Asia,Armenia,2005
6020,Europe & Central Asia,Armenia,2006
6877,Europe & Central Asia,Armenia,2007
7383,Europe & Central Asia,Armenia,2008
6358,Europe & Central Asia,Armenia,2009
6508,Europe & Central Asia,Armenia,2010
6812,Europe & Central Asia,Armenia,2011
7291,Europe & Central Asia,Armenia,2012
7527,Europe & Central Asia,Armenia,2013
5505,America,Aruba,1964
5642,America,Aruba,1965
5783,America,Aruba,1966
5927,America,Aruba,1967
6075,America,Aruba,1968
6227,America,Aruba,1969
6382,America,Aruba,1970
6904,America,Aruba,1971
7470,America,Aruba,1972
8084,America,Aruba,1973
8756,America,Aruba,1974
9493,America,Aruba,1975
10305,America,Aruba,1976
11197,America,Aruba,1977
12166,America,Aruba,1978
13194,America,Aruba,1979
14273,America,Aruba,1980
15377,America,Aruba,1981
16508,America,Aruba,1982
17725,America,Aruba,1983
19124,America,Aruba,1984
20789,America,Aruba,1985
22827,America,Aruba,1986
26876,America,Aruba,1987
32328,America,Aruba,1988
36284,America,Aruba,1989
37014,America,Aruba,1990
38310,America,Aruba,1991
38238,America,Aruba,1992
38477,America,Aruba,1993
39318,America,Aruba,1994
38602,America,Aruba,1995
38003,America,Aruba,1996
40312,America,Aruba,1997
42565,America,Aruba,1998
42564,America,Aruba,1999
43703,America,Aruba,2000
42445,America,Aruba,2001
40288,America,Aruba,2002
39246,America,Aruba,2003
41057,America,Aruba,2004
40737,America,Aruba,2005
40209,America,Aruba,2006
40558,America,Aruba,2007
38594,America,Aruba,2008
35573,America,Aruba,2009
33288,America,Aruba,2010
36016,America,Aruba,2011
35419,America,Aruba,2012
36083,America,Aruba,2013
16098,East Asia & Pacific,Australia,1964
16601,East Asia & Pacific,Australia,1965
16756,East Asia & Pacific,Australia,1966
17570,East Asia & Pacific,Australia,1967
18261,East Asia & Pacific,Australia,1968
18949,East Asia & Pacific,Australia,1969
19719,East Asia & Pacific,Australia,1970
20176,East Asia & Pacific,Australia,1971
20385,East Asia & Pacific,Australia,1972
21185,East Asia & Pacific,Australia,1973
21383,East Asia & Pacific,Australia,1974
21708,East Asia & Pacific,Australia,1975
22372,East Asia & Pacific,Australia,1976
22373,East Asia & Pacific,Australia,1977
22763,East Asia & Pacific,Australia,1978
23697,East Asia & Pacific,Australia,1979
23872,East Asia & Pacific,Australia,1980
24308,East Asia & Pacific,Australia,1981
23884,East Asia & Pacific,Australia,1982
23584,East Asia & Pacific,Australia,1983
24934,East Asia & Pacific,Australia,1984
25875,East Asia & Pacific,Australia,1985
26057,East Asia & Pacific,Australia,1986
26969,East Asia & Pacific,Australia,1987
27757,East Asia & Pacific,Australia,1988
28556,East Asia & Pacific,Australia,1989
28604,East Asia & Pacific,Australia,1990
28122,East Asia & Pacific,Australia,1991
27895,East Asia & Pacific,Australia,1992
28732,East Asia & Pacific,Australia,1993
29580,East Asia & Pacific,Australia,1994
30359,East Asia & Pacific,Australia,1995
31145,East Asia & Pacific,Australia,1996
32013,East Asia & Pacific,Australia,1997
33085,East Asia & Pacific,Australia,1998
34346,East Asia & Pacific,Australia,1999
35253,East Asia & Pacific,Australia,2000
35452,East Asia & Pacific,Australia,2001
36375,East Asia & Pacific,Australia,2002
37035,East Asia & Pacific,Australia,2003
38130,East Asia & Pacific,Australia,2004
38840,East Asia & Pacific,Australia,2005
39416,East Asia & Pacific,Australia,2006
40643,East Asia & Pacific,Australia,2007
41312,East Asia & Pacific,Australia,2008
41170,East Asia & Pacific,Australia,2009
41330,East Asia & Pacific,Australia,2010
41706,East Asia & Pacific,Australia,2011
42522,East Asia & Pacific,Australia,2012
42840,East Asia & Pacific,Australia,2013
13915,Europe & Central Asia,Austria,1964
14213,Europe & Central Asia,Austria,1965
14898,Europe & Central Asia,Austria,1966
15228,Europe & Central Asia,Austria,1967
15814,Europe & Central Asia,Austria,1968
16743,Europe & Central Asia,Austria,1969
17865,Europe & Central Asia,Austria,1970
18698,Europe & Central Asia,Austria,1971
19747,Europe & Central Asia,Austria,1972
20602,Europe & Central Asia,Austria,1973
21381,Europe & Central Asia,Austria,1974
21364,Europe & Central Asia,Austria,1975
22385,Europe & Central Asia,Austria,1976
23427,Europe & Central Asia,Austria,1977
23364,Europe & Central Asia,Austria,1978
24684,Europe & Central Asia,Austria,1979
25259,Europe & Central Asia,Austria,1980
25187,Europe & Central Asia,Austria,1981
25637,Europe & Central Asia,Austria,1982
26435,Europe & Central Asia,Austria,1983
26522,Europe & Central Asia,Austria,1984
27100,Europe & Central Asia,Austria,1985
27707,Europe & Central Asia,Austria,1986
28136,Europe & Central Asia,Austria,1987
28951,Europe & Central Asia,Austria,1988
30067,Europe & Central Asia,Austria,1989
31053,Europe & Central Asia,Austria,1990
31802,Europe & Central Asia,Austria,1991
32113,Europe & Central Asia,Austria,1992
32017,Europe & Central Asia,Austria,1993
32660,Europe & Central Asia,Austria,1994
33480,Europe & Central Asia,Austria,1995
34237,Europe & Central Asia,Austria,1996
34952,Europe & Central Asia,Austria,1997
36157,Europe & Central Asia,Austria,1998
37382,Europe & Central Asia,Austria,1999
38548,Europe & Central Asia,Austria,2000
38919,Europe & Central Asia,Austria,2001
39370,Europe & Central Asia,Austria,2002
39475,Europe & Central Asia,Austria,2003
40292,Europe & Central Asia,Austria,2004
40875,Europe & Central Asia,Austria,2005
42036,Europe & Central Asia,Austria,2006
43418,Europe & Central Asia,Austria,2007
43952,Europe & Central Asia,Austria,2008
42171,Europe & Central Asia,Austria,2009
42861,Europe & Central Asia,Austria,2010
44029,Europe & Central Asia,Austria,2011
44216,Europe & Central Asia,Austria,2012
44059,Europe & Central Asia,Austria,2013
5751,Europe & Central Asia,Azerbaijan,1964
6012,Europe & Central Asia,Azerbaijan,1965
6241,Europe & Central Asia,Azerbaijan,1966
6458,Europe & Central Asia,Azerbaijan,1967
6778,Europe & Central Asia,Azerbaijan,1968
6819,Europe & Central Asia,Azerbaijan,1969
7285,Europe & Central Asia,Azerbaijan,1970
7416,Europe & Central Asia,Azerbaijan,1971
7395,Europe & Central Asia,Azerbaijan,1972
7952,Europe & Central Asia,Azerbaijan,1973
8076,Europe & Central Asia,Azerbaijan,1974
7994,Europe & Central Asia,Azerbaijan,1975
8263,Europe & Central Asia,Azerbaijan,1976
8351,Europe & Central Asia,Azerbaijan,1977
8456,Europe & Central Asia,Azerbaijan,1978
8315,Europe & Central Asia,Azerbaijan,1979
8228,Europe & Central Asia,Azerbaijan,1980
8205,Europe & Central Asia,Azerbaijan,1981
8307,Europe & Central Asia,Azerbaijan,1982
8469,Europe & Central Asia,Azerbaijan,1983
8466,Europe & Central Asia,Azerbaijan,1984
8435,Europe & Central Asia,Azerbaijan,1985
8673,Europe & Central Asia,Azerbaijan,1986
8679,Europe & Central Asia,Azerbaijan,1987
8760,Europe & Central Asia,Azerbaijan,1988
8814,Europe & Central Asia,Azerbaijan,1989
8513,Europe & Central Asia,Azerbaijan,1990
8323,Europe & Central Asia,Azerbaijan,1991
6346,Europe & Central Asia,Azerbaijan,1992
4806,Europe & Central Asia,Azerbaijan,1993
3808,Europe & Central Asia,Azerbaijan,1994
3320,Europe & Central Asia,Azerbaijan,1995
3329,Europe & Central Asia,Azerbaijan,1996
3488,Europe & Central Asia,Azerbaijan,1997
3801,Europe & Central Asia,Azerbaijan,1998
4047,Europe & Central Asia,Azerbaijan,1999
4459,Europe & Central Asia,Azerbaijan,2000
4863,Europe & Central Asia,Azerbaijan,2001
5338,Europe & Central Asia,Azerbaijan,2002
5891,Europe & Central Asia,Azerbaijan,2003
6435,Europe & Central Asia,Azerbaijan,2004
8052,Europe & Central Asia,Azerbaijan,2005
10711,Europe & Central Asia,Azerbaijan,2006
13243,Europe & Central Asia,Azerbaijan,2007
14365,Europe & Central Asia,Azerbaijan,2008
15394,Europe & Central Asia,Azerbaijan,2009
15950,Europe & Central Asia,Azerbaijan,2010
15754,Europe & Central Asia,Azerbaijan,2011
15888,Europe & Central Asia,Azerbaijan,2012
16593,Europe & Central Asia,Azerbaijan,2013
18160,America,Bahamas,1964
19156,America,Bahamas,1965
20007,America,Bahamas,1966
21048,America,Bahamas,1967
21975,America,Bahamas,1968
23154,America,Bahamas,1969
21210,America,Bahamas,1970
21018,America,Bahamas,1971
19856,America,Bahamas,1972
20957,America,Bahamas,1973
17127,America,Bahamas,1974
14320,America,Bahamas,1975
14767,America,Bahamas,1976
15790,America,Bahamas,1977
17660,America,Bahamas,1978
21812,America,Bahamas,1979
22747,America,Bahamas,1980
21634,America,Bahamas,1981
22519,America,Bahamas,1982
23560,America,Bahamas,1983
23646,America,Bahamas,1984
24154,America,Bahamas,1985
24343,America,Bahamas,1986
24818,America,Bahamas,1987
24959,America,Bahamas,1988
25109,America,Bahamas,1989
24281,America,Bahamas,1990
22841,America,Bahamas,1991
21555,America,Bahamas,1992
21222,America,Bahamas,1993
21516,America,Bahamas,1994
22119,America,Bahamas,1995
22758,America,Bahamas,1996
22971,America,Bahamas,1997
23799,America,Bahamas,1998
25193,America,Bahamas,1999
25858,America,Bahamas,2000
26078,America,Bahamas,2001
26260,America,Bahamas,2002
25387,America,Bahamas,2003
25073,America,Bahamas,2004
25397,America,Bahamas,2005
25530,America,Bahamas,2006
25412,America,Bahamas,2007
24373,America,Bahamas,2008
22950,America,Bahamas,2009
22915,America,Bahamas,2010
22689,America,Bahamas,2011
22841,America,Bahamas,2012
22518,America,Bahamas,2013
24751,Middle East & North Africa,Bahrain,1964
25662,Middle East & North Africa,Bahrain,1965
26651,Middle East & North Africa,Bahrain,1966
27726,Middle East & North Africa,Bahrain,1967
28802,Middle East & North Africa,Bahrain,1968
29943,Middle East & North Africa,Bahrain,1969
31232,Middle East & North Africa,Bahrain,1970
31102,Middle East & North Africa,Bahrain,1971
33824,Middle East & North Africa,Bahrain,1972
35688,Middle East & North Africa,Bahrain,1973
36456,Middle East & North Africa,Bahrain,1974
33509,Middle East & North Africa,Bahrain,1975
41062,Middle East & North Africa,Bahrain,1976
40589,Middle East & North Africa,Bahrain,1977
36597,Middle East & North Africa,Bahrain,1978
40292,Middle East & North Africa,Bahrain,1979
44996,Middle East & North Africa,Bahrain,1980
42034,Middle East & North Africa,Bahrain,1981
38841,Middle East & North Africa,Bahrain,1982
38395,Middle East & North Africa,Bahrain,1983
41099,Middle East & North Africa,Bahrain,1984
32131,Middle East & North Africa,Bahrain,1985
29586,Middle East & North Africa,Bahrain,1986
28401,Middle East & North Africa,Bahrain,1987
31346,Middle East & North Africa,Bahrain,1988
32515,Middle East & North Africa,Bahrain,1989
35398,Middle East & North Africa,Bahrain,1990
38315,Middle East & North Africa,Bahrain,1991
39854,Middle East & North Africa,Bahrain,1992
43894,Middle East & North Africa,Bahrain,1993
42712,Middle East & North Africa,Bahrain,1994
43244,Middle East & North Africa,Bahrain,1995
43781,Middle East & North Africa,Bahrain,1996
43798,Middle East & North Africa,Bahrain,1997
44399,Middle East & North Africa,Bahrain,1998
44619,Middle East & North Africa,Bahrain,1999
45063,Middle East & North Africa,Bahrain,2000
44169,Middle East & North Africa,Bahrain,2001
43654,Middle East & North Africa,Bahrain,2002
43914,Middle East & North Africa,Bahrain,2003
44206,Middle East & North Africa,Bahrain,2004
44031,Middle East & North Africa,Bahrain,2005
43358,Middle East & North Africa,Bahrain,2006
43251,Middle East & North Africa,Bahrain,2007
42507,Middle East & North Africa,Bahrain,2008
40825,Middle East & North Africa,Bahrain,2009
40553,Middle East & North Africa,Bahrain,2010
40083,Middle East & North Africa,Bahrain,2011
40732,Middle East & North Africa,Bahrain,2012
42444,Middle East & North Africa,Bahrain,2013
1138,South Asia,Bangladesh,1964
1177,South Asia,Bangladesh,1965
1169,South Asia,Bangladesh,1966
1122,South Asia,Bangladesh,1967
1202,South Asia,Bangladesh,1968
1195,South Asia,Bangladesh,1969
1226,South Asia,Bangladesh,1970
1142,South Asia,Bangladesh,1971
986,South Asia,Bangladesh,1972
971,South Asia,Bangladesh,1973
1069,South Asia,Bangladesh,1974
1035,South Asia,Bangladesh,1975
1059,South Asia,Bangladesh,1976
1038,South Asia,Bangladesh,1977
1082,South Asia,Bangladesh,1978
1101,South Asia,Bangladesh,1979
1079,South Asia,Bangladesh,1980
1085,South Asia,Bangladesh,1981
1071,South Asia,Bangladesh,1982
1097,South Asia,Bangladesh,1983
1131,South Asia,Bangladesh,1984
1142,South Asia,Bangladesh,1985
1169,South Asia,Bangladesh,1986
1196,South Asia,Bangladesh,1987
1208,South Asia,Bangladesh,1988
1216,South Asia,Bangladesh,1989
1274,South Asia,Bangladesh,1990
1287,South Asia,Bangladesh,1991
1327,South Asia,Bangladesh,1992
1360,South Asia,Bangladesh,1993
1383,South Asia,Bangladesh,1994
1424,South Asia,Bangladesh,1995
1457,South Asia,Bangladesh,1996
1492,South Asia,Bangladesh,1997
1538,South Asia,Bangladesh,1998
1579,South Asia,Bangladesh,1999
1632,South Asia,Bangladesh,2000
1685,South Asia,Bangladesh,2001
1721,South Asia,Bangladesh,2002
1774,South Asia,Bangladesh,2003
1840,South Asia,Bangladesh,2004
1934,South Asia,Bangladesh,2005
2038,South Asia,Bangladesh,2006
2158,South Asia,Bangladesh,2007
2265,South Asia,Bangladesh,2008
2355,South Asia,Bangladesh,2009
2459,South Asia,Bangladesh,2010
2589,South Asia,Bangladesh,2011
2725,South Asia,Bangladesh,2012
2853,South Asia,Bangladesh,2013
5681,America,Barbados,1964
6309,America,Barbados,1965
6544,America,Barbados,1966
7223,America,Barbados,1967
7705,America,Barbados,1968
8261,America,Barbados,1969
9013,America,Barbados,1970
9109,America,Barbados,1971
9148,America,Barbados,1972
9277,America,Barbados,1973
10465,America,Barbados,1974
10203,America,Barbados,1975
10605,America,Barbados,1976
10981,America,Barbados,1977
11501,America,Barbados,1978
12364,America,Barbados,1979
12885,America,Barbados,1980
12557,America,Barbados,1981
11845,America,Barbados,1982
11793,America,Barbados,1983
12097,America,Barbados,1984
12115,America,Barbados,1985
12619,America,Barbados,1986
12828,America,Barbados,1987
13162,America,Barbados,1988
13524,America,Barbados,1989
12992,America,Barbados,1990
12573,America,Barbados,1991
11911,America,Barbados,1992
11995,America,Barbados,1993
12437,America,Barbados,1994
12587,America,Barbados,1995
12783,America,Barbados,1996
13564,America,Barbados,1997
14081,America,Barbados,1998
14400,America,Barbados,1999
14677,America,Barbados,2000
14244,America,Barbados,2001
14275,America,Barbados,2002
14485,America,Barbados,2003
14620,America,Barbados,2004
15128,America,Barbados,2005
15913,America,Barbados,2006
16099,America,Barbados,2007
16075,America,Barbados,2008
15334,America,Barbados,2009
15297,America,Barbados,2010
15336,America,Barbados,2011
15261,America,Barbados,2012
12867,America,Barbados,2013
4357,Europe & Central Asia,Belarus,1964
4547,Europe & Central Asia,Belarus,1965
4712,Europe & Central Asia,Belarus,1966
4866,Europe & Central Asia,Belarus,1967
