Country,Year,child_mortality,region
Angola,2006,200.5,Sub-Saharan Africa
Angola,2007,196.4,Sub-Saharan Africa
Angola,2008,192,Sub-Saharan Africa
Angola,2009,187.3,Sub-Saharan Africa
Angola,2010,182.5,Sub-Saharan Africa
Angola,2011,177.3,Sub-Saharan Africa
Angola,2012,172.2,Sub-Saharan Africa
Angola,2013,167.1,Sub-Saharan Africa
Antigua and Barbuda,1964,72.78,America
Antigua and Barbuda,1965,69.91,America
Antigua and Barbuda,1966,66.69,America
Antigua and Barbuda,1967,63.53,America
Antigua and Barbuda,1968,60.97,America
Antigua and Barbuda,1969,58.16,America
Antigua and Barbuda,1970,55.87,America
Antigua and Barbuda,1971,53.73,America
Antigua and Barbuda,1972,51.35,America
Antigua and Barbuda,1973,49.44,America
Antigua and Barbuda,1974,47.58,America
Antigua and Barbuda,1975,45.77,America
Antigua and Barbuda,1976,43.98,America
Antigua and Barbuda,1977,42.22,America
Antigua and Barbuda,1978,40.83,America
Antigua and Barbuda,1979,39.16,America
Antigua and Barbuda,1980,37.53,America
Antigua and Barbuda,1981,36.01,America
Antigua and Barbuda,1982,34.55,America
Antigua and Barbuda,1983,33.16,America
Antigua and Barbuda,1984,31.83,America
Antigua and Barbuda,1985,30.54,America
Antigua and Barbuda,1986,29.32,America
Antigua and Barbuda,1987,28.14,America
Antigua and Barbuda,1988,27.01,America
Antigua and Barbuda,1989,25.93,America
Antigua and Barbuda,1990,25.5,America
Antigua and Barbuda,1991,24.2,America
Antigua and Barbuda,1992,23.1,America
Antigua and Barbuda,1993,21.9,America
Antigua and Barbuda,1994,20.8,America
Antigua and Barbuda,1995,19.7,America
Antigua and Barbuda,1996,18.8,America
Antigua and Barbuda,1997,17.9,America
Antigua and Barbuda,1998,17,America
Antigua and Barbuda,1999,16.2,America
Antigua and Barbuda,2000,15.5,America
Antigua and Barbuda,2001,14.8,America
Antigua and Barbuda,2002,14.1,America
Antigua and Barbuda,2003,13.5,America
Antigua and Barbuda,2004,12.9,America
Antigua and Barbuda,2005,12.4,America
Antigua and Barbuda,2006,11.8,America
Antigua and Barbuda,2007,11.3,America
Antigua and Barbuda,2008,10.9,America
Antigua and Barbuda,2009,10.4,America
Antigua and Barbuda,2010,9.9,America
Antigua and Barbuda,2011,9.5,America
Antigua and Barbuda,2012,9.1,America
Antigua and Barbuda,2013,8.7,America
Argentina,1964,57.43,America
Argentina,1965,57.43,America
Argentina,1966,58.63,America
Argentina,1967,58.52,America
Argentina,1968,58.32,America
Argentina,1969,73.2,America
Argentina,1970,72.4,America
Argentina,1971,71.5,America
Argentina,1972,70.4,America
Argentina,1973,68.8,America
Argentina,1974,66.6,America
Argentina,1975,63.8,America
Argentina,1976,60.2,America
Argentina,1977,55.9,America
Argentina,1978,51.4,America
Argentina,1979,47,America
Argentina,1980,43.1,America
Argentina,1981,40,America
Argentina,1982,37.6,America
Argentina,1983,35.8,America
Argentina,1984,34.4,America
Argentina,1985,33.1,America
Argentina,1986,31.9,America
Argentina,1987,30.8,America
Argentina,1988,29.7,America
Argentina,1989,28.6,America
Argentina,1990,27.6,America
Argentina,1991,26.6,America
Argentina,1992,25.7,America
Argentina,1993,24.8,America
Argentina,1994,24.1,America
Argentina,1995,23.4,America
Argentina,1996,22.7,America
Argentina,1997,22,America
Argentina,1998,21.4,America
Argentina,1999,20.8,America
Argentina,2000,20.2,America
Argentina,2001,19.7,America
Argentina,2002,19.2,America
Argentina,2003,18.6,America
Argentina,2004,17.9,America
Argentina,2005,17.1,America
Argentina,2006,16.4,America
Argentina,2007,15.8,America
Argentina,2008,15.4,America
Argentina,2009,15,America
Argentina,2010,14.6,America
Argentina,2011,14.2,America
Argentina,2012,13.8,America
Argentina,2013,13.3,America
Armenia,1964,66.85,Europe & Central Asia
Armenia,1965,63.58,Europe & Central Asia
Armenia,1966,60.86,Europe & Central Asia
Armenia,1967,63.13,Europe & Central Asia
Armenia,1968,65.49,Europe & Central Asia
Armenia,1969,67.93,Europe & Central Asia
Armenia,1970,70.47,Europe & Central Asia
Armenia,1971,73.1,Europe & Central Asia
Armenia,1972,75.83,Europe & Central Asia
Armenia,1973,78.66,Europe & Central Asia
Armenia,1974,81.59,Europe & Central Asia
Armenia,1975,84.64,Europe & Central Asia
Armenia,1976,87.8,Europe & Central Asia
Armenia,1977,84.3,Europe & Central Asia
Armenia,1978,81,Europe & Central Asia
Armenia,1979,77.8,Europe & Central Asia
Armenia,1980,74.8,Europe & Central Asia
Armenia,1981,71.8,Europe & Central Asia
Armenia,1982,69.1,Europe & Central Asia
Armenia,1983,66.4,Europe & Central Asia
Armenia,1984,63.8,Europe & Central Asia
Armenia,1985,61.4,Europe & Central Asia
Armenia,1986,59,Europe & Central Asia
Armenia,1987,56.6,Europe & Central Asia
Armenia,1988,81.6,Europe & Central Asia
Armenia,1989,52,Europe & Central Asia
Armenia,1990,49.7,Europe & Central Asia
Armenia,1991,47.4,Europe & Central Asia
Armenia,1992,45.1,Europe & Central Asia
Armenia,1993,42.8,Europe & Central Asia
Armenia,1994,40.6,Europe & Central Asia
Armenia,1995,38.6,Europe & Central Asia
Armenia,1996,36.7,Europe & Central Asia
Armenia,1997,34.9,Europe & Central Asia
Armenia,1998,33.2,Europe & Central Asia
Armenia,1999,31.6,Europe & Central Asia
Armenia,2000,30.1,Europe & Central Asia
Armenia,2001,28.6,Europe & Central Asia
Armenia,2002,27.2,Europe & Central Asia
Armenia,2003,25.9,Europe & Central Asia
Armenia,2004,24.6,Europe & Central Asia
Armenia,2005,23.3,Europe & Central Asia
Armenia,2006,22.2,Europe & Central Asia
Armenia,2007,21.1,Europe & Central Asia
Armenia,2008,20,Europe & Central Asia
Armenia,2009,19,Europe & Central Asia
Armenia,2010,18,Europe & Central Asia
Armenia,2011,17.2,Europe & Central Asia
Armenia,2012,16.3,Europe & Central Asia
Armenia,2013,15.5,Europe & Central Asia
Aruba,1980,26.34,America
Aruba,1981,25.4,America
Aruba,1982,24.6,America
Aruba,1983,23.96,America
Aruba,1984,23.48,America
Aruba,1985,23.14,America
Aruba,1986,22.91,America
Aruba,1987,22.76,America
Aruba,1988,22.62,America
Aruba,1989,22.5,America
Aruba,1990,22.36,America
Aruba,1991,22.23,America
Aruba,1992,22.1,America
Aruba,1993,22,America
Aruba,1994,21.91,America
Aruba,1995,21.83,America
Aruba,1996,21.76,America
Aruba,1997,21.68,America
Aruba,1998,21.6,America
Aruba,1999,21.49,America
Aruba,2000,21.35,America
Aruba,2001,21.15,America
Aruba,2002,20.89,America
Aruba,2003,20.57,America
Aruba,2004,20.2,America
Aruba,2005,19.8,America
Aruba,2006,19.37,America
Aruba,2007,18.95,America
Aruba,2008,18.55,America
Aruba,2009,18.18,America
Aruba,2010,17.84,America
Aruba,2011,17.55,America
Aruba,2012,17.28,America
Aruba,2013,17.03,America
Australia,1964,22.7,East Asia & Pacific
Australia,1965,22.4,East Asia & Pacific
Australia,1966,22.1,East Asia & Pacific
Australia,1967,22,East Asia & Pacific
Australia,1968,21.9,East Asia & Pacific
Australia,1969,21.7,East Asia & Pacific
Australia,1970,21.4,East Asia & Pacific
Australia,1971,20.9,East Asia & Pacific
Australia,1972,20.2,East Asia & Pacific
Australia,1973,19.4,East Asia & Pacific
Australia,1974,18.4,East Asia & Pacific
Australia,1975,17.3,East Asia & Pacific
Australia,1976,16.2,East Asia & Pacific
Australia,1977,15.3,East Asia & Pacific
Australia,1978,14.4,East Asia & Pacific
Australia,1979,13.6,East Asia & Pacific
Australia,1980,13,East Asia & Pacific
Australia,1981,12.5,East Asia & Pacific
Australia,1982,12.2,East Asia & Pacific
Australia,1983,11.9,East Asia & Pacific
Australia,1984,11.6,East Asia & Pacific
Australia,1985,11.3,East Asia & Pacific
Australia,1986,11,East Asia & Pacific
Australia,1987,10.6,East Asia & Pacific
Australia,1988,10.2,East Asia & Pacific
Australia,1989,9.7,East Asia & Pacific
Australia,1990,9.2,East Asia & Pacific
Australia,1991,8.6,East Asia & Pacific
Australia,1992,8.1,East Asia & Pacific
Australia,1993,7.7,East Asia & Pacific
Australia,1994,7.3,East Asia & Pacific
Australia,1995,7,East Asia & Pacific
Australia,1996,6.8,East Asia & Pacific
Australia,1997,6.6,East Asia & Pacific
Australia,1998,6.5,East Asia & Pacific
Australia,1999,6.4,East Asia & Pacific
Australia,2000,6.2,East Asia & Pacific
Australia,2001,6.1,East Asia & Pacific
Australia,2002,6,East Asia & Pacific
Australia,2003,5.9,East Asia & Pacific
Australia,2004,5.9,East Asia & Pacific
Australia,2005,5.7,East Asia & Pacific
Australia,2006,5.6,East Asia & Pacific
Australia,2007,5.4,East Asia & Pacific
Australia,2008,5.2,East Asia & Pacific
Australia,2009,5,East Asia & Pacific
Australia,2010,4.8,East Asia & Pacific
Australia,2011,4.5,East Asia & Pacific
Australia,2012,4.2,East Asia & Pacific
Australia,2013,4,East Asia & Pacific
Austria,1964,34.2,Europe & Central Asia
Austria,1965,32.7,Europe & Central Asia
Austria,1966,31.5,Europe & Central Asia
Austria,1967,30.5,Europe & Central Asia
Austria,1968,29.8,Europe & Central Asia
Austria,1969,29.3,Europe & Central Asia
Austria,1970,29,Europe & Central Asia
Austria,1971,28.7,Europe & Central Asia
Austria,1972,28,Europe & Central Asia
Austria,1973,26.8,Europe & Central Asia
Austria,1974,25.1,Europe & Central Asia
Austria,1975,23.1,Europe & Central Asia
Austria,1976,21.1,Europe & Central Asia
Austria,1977,19.4,Europe & Central Asia
Austria,1978,18.1,Europe & Central Asia
Austria,1979,17.1,Europe & Central Asia
Austria,1980,16.3,Europe & Central Asia
Austria,1981,15.5,Europe & Central Asia
Austria,1982,14.8,Europe & Central Asia
Austria,1983,14.1,Europe & Central Asia
Austria,1984,13.3,Europe & Central Asia
Austria,1985,12.6,Europe & Central Asia
Austria,1986,11.8,Europe & Central Asia
Austria,1987,11.1,Europe & Central Asia
Austria,1988,10.5,Europe & Central Asia
Austria,1989,10,Europe & Central Asia
Austria,1990,9.5,Europe & Central Asia
Austria,1991,9,Europe & Central Asia
Austria,1992,8.5,Europe & Central Asia
Austria,1993,8,Europe & Central Asia
Austria,1994,7.4,Europe & Central Asia
Austria,1995,6.8,Europe & Central Asia
Austria,1996,6.4,Europe & Central Asia
Austria,1997,6,Europe & Central Asia
Austria,1998,5.8,Europe & Central Asia
Austria,1999,5.6,Europe & Central Asia
Austria,2000,5.5,Europe & Central Asia
Austria,2001,5.4,Europe & Central Asia
Austria,2002,5.3,Europe & Central Asia
Austria,2003,5.2,Europe & Central Asia
Austria,2004,5,Europe & Central Asia
Austria,2005,4.9,Europe & Central Asia
Austria,2006,4.8,Europe & Central Asia
Austria,2007,4.6,Europe & Central Asia
Austria,2008,4.6,Europe & Central Asia
Austria,2009,4.5,Europe & Central Asia
Austria,2010,4.4,Europe & Central Asia
Austria,2011,4.2,Europe & Central Asia
Austria,2012,4,Europe & Central Asia
Austria,2013,3.9,Europe & Central Asia
Azerbaijan,1964,93.61,Europe & Central Asia
Azerbaijan,1965,90.2,Europe & Central Asia
Azerbaijan,1966,86.86,Europe & Central Asia
Azerbaijan,1967,83.54,Europe & Central Asia
Azerbaijan,1968,80.41,Europe & Central Asia
Azerbaijan,1969,77.44,Europe & Central Asia
Azerbaijan,1970,75.11,Europe & Central Asia
Azerbaijan,1971,72.93,Europe & Central Asia
Azerbaijan,1972,71.36,Europe & Central Asia
Azerbaijan,1973,74.39,Europe & Central Asia
Azerbaijan,1974,77.55,Europe & Central Asia
Azerbaijan,1975,80.85,Europe & Central Asia
Azerbaijan,1976,84.29,Europe & Central Asia
Azerbaijan,1977,87.87,Europe & Central Asia
Azerbaijan,1978,91.6,Europe & Central Asia
Azerbaijan,1979,95.5,Europe & Central Asia
Azerbaijan,1980,120.86,Europe & Central Asia
Azerbaijan,1981,120.54,Europe & Central Asia
Azerbaijan,1982,108.2,Europe & Central Asia
Azerbaijan,1983,105.7,Europe & Central Asia
Azerbaijan,1984,103.3,Europe & Central Asia
Azerbaijan,1985,101.1,Europe & Central Asia
Azerbaijan,1986,99,Europe & Central Asia
Azerbaijan,1987,97.2,Europe & Central Asia
Azerbaijan,1988,95.8,Europe & Central Asia
Azerbaijan,1989,94.9,Europe & Central Asia
Azerbaijan,1990,94.7,Europe & Central Asia
Azerbaijan,1991,95,Europe & Central Asia
Azerbaijan,1992,95.4,Europe & Central Asia
Azerbaijan,1993,95.7,Europe & Central Asia
Azerbaijan,1994,95.5,Europe & Central Asia
Azerbaijan,1995,94.3,Europe & Central Asia
Azerbaijan,1996,92.1,Europe & Central Asia
Azerbaijan,1997,88.6,Europe & Central Asia
Azerbaijan,1998,84.2,Europe & Central Asia
Azerbaijan,1999,79.3,Europe & Central Asia
Azerbaijan,2000,74,Europe & Central Asia
Azerbaijan,2001,68.8,Europe & Central Asia
Azerbaijan,2002,63.8,Europe & Central Asia
Azerbaijan,2003,59.3,Europe & Central Asia
Azerbaijan,2004,55.2,Europe & Central Asia
Azerbaijan,2005,51.7,Europe & Central Asia
Azerbaijan,2006,48.6,Europe & Central Asia
Azerbaijan,2007,45.8,Europe & Central Asia
Azerbaijan,2008,43.3,Europe & Central Asia
Azerbaijan,2009,41,Europe & Central Asia
Azerbaijan,2010,39,Europe & Central Asia
Azerbaijan,2011,37.3,Europe & Central Asia
Azerbaijan,2012,35.7,Europe & Central Asia
Azerbaijan,2013,34.2,Europe & Central Asia
Bahamas,1964,48.56,America
Bahamas,1965,42.84,America
Bahamas,1966,37.79,America
Bahamas,1967,33.33,America
Bahamas,1968,29.4,America
Bahamas,1969,30,America
Bahamas,1970,30.6,America
Bahamas,1971,31.2,America
Bahamas,1972,31.7,America
Bahamas,1973,32.1,America
Bahamas,1974,32.2,America
Bahamas,1975,32.2,America
Bahamas,1976,31.9,America
Bahamas,1977,31.5,America
Bahamas,1978,31,America
Bahamas,1979,30.5,America
Bahamas,1980,29.9,America
Bahamas,1981,29.4,America
Bahamas,1982,28.9,America
Bahamas,1983,28.6,America
Bahamas,1984,28.2,America
Bahamas,1985,27.9,America
Bahamas,1986,27.3,America
Bahamas,1987,26.5,America
Bahamas,1988,25.6,America
Bahamas,1989,24.6,America
Bahamas,1990,23.5,America
Bahamas,1991,22.5,America
Bahamas,1992,21.6,America
Bahamas,1993,20.6,America
Bahamas,1994,19.6,America
Bahamas,1995,18.7,America
Bahamas,1996,17.8,America
Bahamas,1997,17,America
Bahamas,1998,16.4,America
Bahamas,1999,15.9,America
Bahamas,2000,15.7,America
Bahamas,2001,15.5,America
Bahamas,2002,15.5,America
Bahamas,2003,15.4,America
Bahamas,2004,15.4,America
Bahamas,2005,15.3,America
Bahamas,2006,15.1,America
Bahamas,2007,14.8,America
Bahamas,2008,14.5,America
Bahamas,2009,14.2,America
Bahamas,2010,13.9,America
Bahamas,2011,13.5,America
Bahamas,2012,13.2,America
Bahamas,2013,12.8,America
Bahrain,1964,138.9,Middle East & North Africa
Bahrain,1965,126.3,Middle East & North Africa
Bahrain,1966,114.7,Middle East & North Africa
Bahrain,1967,104,Middle East & North Africa
Bahrain,1968,94.1,Middle East & North Africa
Bahrain,1969,85,Middle East & North Africa
Bahrain,1970,76.8,Middle East & North Africa
Bahrain,1971,69.3,Middle East & North Africa
Bahrain,1972,62.7,Middle East & North Africa
Bahrain,1973,56.9,Middle East & North Africa
Bahrain,1974,51.8,Middle East & North Africa
Bahrain,1975,47.4,Middle East & North Africa
Bahrain,1976,43.6,Middle East & North Africa
Bahrain,1977,40.2,Middle East & North Africa
Bahrain,1978,37.2,Middle East & North Africa
Bahrain,1979,34.6,Middle East & North Africa
Bahrain,1980,32.3,Middle East & North Africa
Bahrain,1981,30.3,Middle East & North Africa
Bahrain,1982,28.6,Middle East & North Africa
Bahrain,1983,27.2,Middle East & North Africa
Bahrain,1984,25.9,Middle East & North Africa
Bahrain,1985,24.9,Middle East & North Africa
Bahrain,1986,24.2,Middle East & North Africa
Bahrain,1987,23.6,Middle East & North Africa
Bahrain,1988,23.3,Middle East & North Africa
Bahrain,1989,23.2,Middle East & North Africa
Bahrain,1990,23,Middle East & North Africa
Bahrain,1991,22.7,Middle East & North Africa
Bahrain,1992,22,Middle East & North Africa
Bahrain,1993,21,Middle East & North Africa
Bahrain,1994,19.6,Middle East & North Africa
Bahrain,1995,18.1,Middle East & North Africa
Bahrain,1996,16.6,Middle East & North Africa
Bahrain,1997,15.2,Middle East & North Africa
Bahrain,1998,14.1,Middle East & North Africa
Bahrain,1999,13.2,Middle East & North Africa
Bahrain,2000,12.6,Middle East & North Africa
Bahrain,2001,12.1,Middle East & North Africa
Bahrain,2002,11.8,Middle East & North Africa
Bahrain,2003,11.5,Middle East & North Africa
Bahrain,2004,11.2,Middle East & North Africa
Bahrain,2005,10.9,Middle East & North Africa
Bahrain,2006,10.5,Middle East & North Africa
Bahrain,2007,10,Middle East & North Africa
Bahrain,2008,9.4,Middle East & North Africa
Bahrain,2009,8.8,Middle East & North Africa
Bahrain,2010,8.3,Middle East & North Africa
Bahrain,2011,7.8,Middle East & North Africa
Bahrain,2012,7.3,Middle East & North Africa
Bahrain,2013,6.9,Middle East & North Africa
Bangladesh,1964,240.4,South Asia
Bangladesh,1965,236,South Asia
Bangladesh,1966,232.3,South Asia
Bangladesh,1967,229.4,South Asia
Bangladesh,1968,227.1,South Asia
Bangladesh,1969,225.4,South Asia
Bangladesh,1970,224.1,South Asia
Bangladesh,1971,223,South Asia
Bangladesh,1972,222,South Asia
Bangladesh,1973,220.7,South Asia
Bangladesh,1974,219.1,South Asia
Bangladesh,1975,217.1,South Asia
Bangladesh,1976,214.5,South Asia
Bangladesh,1977,211.2,South Asia
Bangladesh,1978,207.4,South Asia
Bangladesh,1979,203.3,South Asia
Bangladesh,1980,198.9,South Asia
Bangladesh,1981,194.2,South Asia
Bangladesh,1982,189.4,South Asia
Bangladesh,1983,184.4,South Asia
Bangladesh,1984,179.1,South Asia
Bangladesh,1985,173.5,South Asia
Bangladesh,1986,167.7,South Asia
Bangladesh,1987,161.8,South Asia
Bangladesh,1988,155.8,South Asia
Bangladesh,1989,149.7,South Asia
Bangladesh,1990,143.7,South Asia
Bangladesh,1991,137.7,South Asia
Bangladesh,1992,131.7,South Asia
Bangladesh,1993,125.8,South Asia
Bangladesh,1994,119.9,South Asia
Bangladesh,1995,114.2,South Asia
Bangladesh,1996,108.6,South Asia
Bangladesh,1997,103.2,South Asia
Bangladesh,1998,97.9,South Asia
Bangladesh,1999,92.8,South Asia
Bangladesh,2000,88,South Asia
Bangladesh,2001,83.5,South Asia
Bangladesh,2002,79,South Asia
Bangladesh,2003,74.8,South Asia
Bangladesh,2004,70.7,South Asia
Bangladesh,2005,66.8,South Asia
Bangladesh,2006,63,South Asia
Bangladesh,2007,59.4,South Asia
Bangladesh,2008,55.9,South Asia
Bangladesh,2009,52.6,South Asia
Bangladesh,2010,49.6,South Asia
Bangladesh,2011,46.7,South Asia
Bangladesh,2012,44,South Asia
Bangladesh,2013,41.6,South Asia
Barbados,1964,64.7,America
Barbados,1965,61.3,America
Barbados,1966,58.2,America
Barbados,1967,55.5,America
Barbados,1968,53,America
Barbados,1969,50.5,America
Barbados,1970,48.1,America
Barbados,1971,45.8,America
Barbados,1972,43.4,America
Barbados,1973,41.1,America
Barbados,1974,38.9,America
Barbados,1975,36.7,America
Barbados,1976,34.6,America
Barbados,1977,32.6,America
Barbados,1978,30.6,America
Barbados,1979,28.9,America
Barbados,1980,27.2,America
Barbados,1981,25.8,America
Barbados,1982,24.6,America
Barbados,1983,23.6,America
Barbados,1984,22.8,America
Barbados,1985,22,America
Barbados,1986,21.2,America
Barbados,1987,20.4,America
Barbados,1988,19.5,America
Barbados,1989,18.7,America
Barbados,1990,17.9,America
