Country,Year,life,region
Albania,1989,71.87,Europe & Central Asia
Albania,1990,71.842,Europe & Central Asia
Albania,1991,71.799,Europe & Central Asia
Albania,1992,71.779,Europe & Central Asia
Albania,1993,71.813,Europe & Central Asia
Albania,1994,71.92,Europe & Central Asia
Albania,1995,72.117,Europe & Central Asia
Albania,1996,72.415,Europe & Central Asia
Albania,1997,72.796,Europe & Central Asia
Albania,1998,73.235,Europe & Central Asia
Albania,1999,73.713,Europe & Central Asia
Albania,2000,74.2,Europe & Central Asia
Albania,2001,74.664,Europe & Central Asia
Albania,2002,75.081,Europe & Central Asia
Albania,2003,75.437,Europe & Central Asia
Albania,2004,75.725,Europe & Central Asia
Albania,2005,75.949,Europe & Central Asia
Albania,2006,76.124,Europe & Central Asia
Albania,2007,76.278,Europe & Central Asia
Albania,2008,76.433,Europe & Central Asia
Albania,2009,76.598,Europe & Central Asia
Albania,2010,76.78,Europe & Central Asia
Albania,2011,76.979,Europe & Central Asia
Albania,2012,77.185,Europe & Central Asia
Albania,2013,77.392,Europe & Central Asia
Algeria,1964,47.953,Middle East & North Africa
Algeria,1965,48.389,Middle East & North Africa
Algeria,1966,48.806,Middle East & North Africa
Algeria,1967,49.205,Middle East & North Africa
Algeria,1968,49.592,Middle East & North Africa
Algeria,1969,49.976,Middle East & North Africa
Algeria,1970,50.366,Middle East & North Africa
Algeria,1971,50.767,Middle East & North Africa
Algeria,1972,51.195,Middle East & North Africa
Algeria,1973,51.67,Middle East & North Africa
Algeria,1974,52.213,Middle East & North Africa
Algeria,1975,52.861,Middle East & North Africa
Algeria,1976,53.656,Middle East & North Africa
Algeria,1977,54.605,Middle East & North Africa
Algeria,1978,55.697,Middle East & North Africa
Algeria,1979,56.907,Middle East & North Africa
Algeria,1980,58.198,Middle East & North Africa
Algeria,1981,59.524,Middle East & North Africa
Algeria,1982,60.826,Middle East & North Africa
Algeria,1983,62.051,Middle East & North Africa
Algeria,1984,63.16,Middle East & North Africa
Algeria,1985,64.12,Middle East & North Africa
Algeria,1986,64.911,Middle East & North Africa
Algeria,1987,65.554,Middle East & North Africa
Algeria,1988,66.072,Middle East & North Africa
Algeria,1989,66.479,Middle East & North Africa
Algeria,1990,66.796,Middle East & North Africa
Algeria,1991,67.049,Middle East & North Africa
Algeria,1992,67.265,Middle East & North Africa
Algeria,1993,67.468,Middle East & North Africa
Algeria,1994,67.674,Middle East & North Africa
Algeria,1995,67.893,Middle East & North Africa
Algeria,1996,68.123,Middle East & North Africa
Algeria,1997,68.35,Middle East & North Africa
Algeria,1998,68.565,Middle East & North Africa
Algeria,1999,68.769,Middle East & North Africa
Algeria,2000,68.963,Middle East & North Africa
Algeria,2001,69.149,Middle East & North Africa
Algeria,2002,69.33,Middle East & North Africa
Algeria,2003,69.508,Middle East & North Africa
Algeria,2004,69.682,Middle East & North Africa
Algeria,2005,69.854,Middle East & North Africa
Algeria,2006,70.02,Middle East & North Africa
Algeria,2007,70.18,Middle East & North Africa
Algeria,2008,70.332,Middle East & North Africa
Algeria,2009,70.477,Middle East & North Africa
Algeria,2010,70.615,Middle East & North Africa
Algeria,2011,70.747,Middle East & North Africa
Algeria,2012,70.874,Middle East & North Africa
Algeria,2013,71,Middle East & North Africa
Angola,1964,34.604,Sub-Saharan Africa
Angola,1965,35.007,Sub-Saharan Africa
Angola,1966,35.41,Sub-Saharan Africa
Angola,1967,35.816,Sub-Saharan Africa
Angola,1968,36.222,Sub-Saharan Africa
Angola,1969,36.627,Sub-Saharan Africa
Angola,1970,37.032,Sub-Saharan Africa
Angola,1971,37.439,Sub-Saharan Africa
Angola,1972,37.846,Sub-Saharan Africa
Angola,1973,38.247,Sub-Saharan Africa
Angola,1974,38.635,Sub-Saharan Africa
Angola,1975,38.998,Sub-Saharan Africa
Angola,1976,39.324,Sub-Saharan Africa
Angola,1977,39.605,Sub-Saharan Africa
Angola,1978,39.84,Sub-Saharan Africa
Angola,1979,40.029,Sub-Saharan Africa
Angola,1980,40.182,Sub-Saharan Africa
Angola,1981,40.311,Sub-Saharan Africa
Angola,1982,40.429,Sub-Saharan Africa
Angola,1983,40.547,Sub-Saharan Africa
Angola,1984,40.671,Sub-Saharan Africa
Angola,1985,40.794,Sub-Saharan Africa
Angola,1986,40.902,Sub-Saharan Africa
Angola,1987,40.988,Sub-Saharan Africa
Angola,1988,41.05,Sub-Saharan Africa
Angola,1989,41.1,Sub-Saharan Africa
Angola,1990,41.151,Sub-Saharan Africa
Angola,1991,41.221,Sub-Saharan Africa
Angola,1992,41.329,Sub-Saharan Africa
Angola,1993,41.495,Sub-Saharan Africa
Angola,1994,41.736,Sub-Saharan Africa
Angola,1995,42.073,Sub-Saharan Africa
Angola,1996,42.526,Sub-Saharan Africa
Angola,1997,43.088,Sub-Saharan Africa
Angola,1998,43.742,Sub-Saharan Africa
Angola,1999,44.468,Sub-Saharan Africa
Angola,2000,45.234,Sub-Saharan Africa
Angola,2001,46.004,Sub-Saharan Africa
Angola,2002,46.743,Sub-Saharan Africa
Angola,2003,47.425,Sub-Saharan Africa
Angola,2004,48.036,Sub-Saharan Africa
Angola,2005,48.572,Sub-Saharan Africa
Angola,2006,49.041,Sub-Saharan Africa
Angola,2007,49.471,Sub-Saharan Africa
Angola,2008,49.882,Sub-Saharan Africa
Angola,2009,50.286,Sub-Saharan Africa
Angola,2010,50.689,Sub-Saharan Africa
Angola,2011,51.094,Sub-Saharan Africa
Angola,2012,51.498,Sub-Saharan Africa
Angola,2013,51.899,Sub-Saharan Africa
Antigua and Barbuda,1964,63.775,America
Antigua and Barbuda,1965,64.149,America
Antigua and Barbuda,1966,64.511,America
Antigua and Barbuda,1967,64.865,America
Antigua and Barbuda,1968,65.213,America
Antigua and Barbuda,1969,65.558,America
Antigua and Barbuda,1970,65.898,America
Antigua and Barbuda,1971,66.232,America
Antigua and Barbuda,1972,66.558,America
Antigua and Barbuda,1973,66.875,America
Antigua and Barbuda,1974,67.181,America
Antigua and Barbuda,1975,67.479,America
Antigua and Barbuda,1976,67.768,America
Antigua and Barbuda,1977,68.051,America
Antigua and Barbuda,1978,68.328,America
Antigua and Barbuda,1979,68.602,America
Antigua and Barbuda,1980,68.873,America
Antigua and Barbuda,1981,69.141,America
Antigua and Barbuda,1982,69.408,America
Antigua and Barbuda,1983,69.671,America
Antigua and Barbuda,1984,69.931,America
Antigua and Barbuda,1985,70.186,America
Antigua and Barbuda,1986,70.435,America
Antigua and Barbuda,1987,70.675,America
Antigua and Barbuda,1988,70.907,America
Antigua and Barbuda,1989,71.132,America
Antigua and Barbuda,1990,71.351,America
Antigua and Barbuda,1991,71.568,America
Antigua and Barbuda,1992,71.783,America
Antigua and Barbuda,1993,72,America
Antigua and Barbuda,1994,72.219,America
Antigua and Barbuda,1995,72.441,America
Antigua and Barbuda,1996,72.664,America
Antigua and Barbuda,1997,72.888,America
Antigua and Barbuda,1998,73.11,America
Antigua and Barbuda,1999,73.329,America
Antigua and Barbuda,2000,73.544,America
Antigua and Barbuda,2001,73.755,America
Antigua and Barbuda,2002,73.96,America
Antigua and Barbuda,2003,74.16,America
Antigua and Barbuda,2004,74.355,America
Antigua and Barbuda,2005,74.544,America
Antigua and Barbuda,2006,74.729,America
Antigua and Barbuda,2007,74.91,America
Antigua and Barbuda,2008,75.087,America
Antigua and Barbuda,2009,75.263,America
Antigua and Barbuda,2010,75.437,America
Antigua and Barbuda,2011,75.61,America
Antigua and Barbuda,2012,75.783,America
Antigua and Barbuda,2013,75.954,America
Argentina,1964,65.388,America
Argentina,1965,65.481,America
Argentina,1966,65.603,America
Argentina,1967,65.759,America
Argentina,1968,65.953,America
Argentina,1969,66.184,America
Argentina,1970,66.449,America
Argentina,1971,66.74,America
Argentina,1972,67.044,America
Argentina,1973,67.349,America
Argentina,1974,67.652,America
Argentina,1975,67.95,America
Argentina,1976,68.248,America
Argentina,1977,68.549,America
Argentina,1978,68.856,America
Argentina,1979,69.164,America
Argentina,1980,69.464,America
Argentina,1981,69.746,America
Argentina,1982,70.004,America
Argentina,1983,70.235,America
Argentina,1984,70.439,America
Argentina,1985,70.624,America
Argentina,1986,70.798,America
Argentina,1987,70.972,America
Argentina,1988,71.156,America
Argentina,1989,71.353,America
Argentina,1990,71.566,America
Argentina,1991,71.791,America
Argentina,1992,72.024,America
Argentina,1993,72.257,America
Argentina,1994,72.489,America
Argentina,1995,72.719,America
Argentina,1996,72.945,America
Argentina,1997,73.169,America
Argentina,1998,73.39,America
Argentina,1999,73.608,America
Argentina,2000,73.822,America
Argentina,2001,74.033,America
Argentina,2002,74.24,America
Argentina,2003,74.444,America
Argentina,2004,74.645,America
Argentina,2005,74.843,America
Argentina,2006,75.036,America
Argentina,2007,75.225,America
Argentina,2008,75.41,America
Argentina,2009,75.592,America
Argentina,2010,75.772,America
Argentina,2011,75.95,America
Argentina,2012,76.128,America
Argentina,2013,76.305,America
Armenia,1964,67.714,Europe & Central Asia
Armenia,1965,68.151,Europe & Central Asia
Armenia,1966,68.587,Europe & Central Asia
Armenia,1967,69.015,Europe & Central Asia
Armenia,1968,69.425,Europe & Central Asia
Armenia,1969,69.808,Europe & Central Asia
Armenia,1970,70.143,Europe & Central Asia
Armenia,1971,70.411,Europe & Central Asia
Armenia,1972,70.604,Europe & Central Asia
Armenia,1973,70.722,Europe & Central Asia
Armenia,1974,70.774,Europe & Central Asia
Armenia,1975,70.782,Europe & Central Asia
Armenia,1976,70.782,Europe & Central Asia
Armenia,1977,70.797,Europe & Central Asia
Armenia,1978,70.837,Europe & Central Asia
Armenia,1979,70.896,Europe & Central Asia
Armenia,1980,70.936,Europe & Central Asia
Armenia,1981,70.909,Europe & Central Asia
Armenia,1982,70.775,Europe & Central Asia
Armenia,1983,70.518,Europe & Central Asia
Armenia,1984,70.149,Europe & Central Asia
Armenia,1985,69.697,Europe & Central Asia
Armenia,1986,69.204,Europe & Central Asia
Armenia,1987,68.731,Europe & Central Asia
Armenia,1988,68.331,Europe & Central Asia
Armenia,1989,68.037,Europe & Central Asia
Armenia,1990,67.877,Europe & Central Asia
Armenia,1991,67.864,Europe & Central Asia
Armenia,1992,67.979,Europe & Central Asia
Armenia,1993,68.199,Europe & Central Asia
Armenia,1994,68.513,Europe & Central Asia
Armenia,1995,68.91,Europe & Central Asia
Armenia,1996,69.376,Europe & Central Asia
Armenia,1997,69.891,Europe & Central Asia
Armenia,1998,70.43,Europe & Central Asia
Armenia,1999,70.971,Europe & Central Asia
Armenia,2000,71.494,Europe & Central Asia
Armenia,2001,71.981,Europe & Central Asia
Armenia,2002,72.43,Europe & Central Asia
Armenia,2003,72.836,Europe & Central Asia
Armenia,2004,73.192,Europe & Central Asia
Armenia,2005,73.491,Europe & Central Asia
Armenia,2006,73.73,Europe & Central Asia
Armenia,2007,73.92,Europe & Central Asia
Armenia,2008,74.07,Europe & Central Asia
Armenia,2009,74.191,Europe & Central Asia
Armenia,2010,74.291,Europe & Central Asia
Armenia,2011,74.381,Europe & Central Asia
Armenia,2012,74.469,Europe & Central Asia
Armenia,2013,74.561,Europe & Central Asia
Aruba,1964,67.113,America
Aruba,1965,67.435,America
Aruba,1966,67.762,America
Aruba,1967,68.095,America
Aruba,1968,68.436,America
Aruba,1969,68.784,America
Aruba,1970,69.14,America
Aruba,1971,69.498,America
Aruba,1972,69.851,America
Aruba,1973,70.192,America
Aruba,1974,70.519,America
Aruba,1975,70.834,America
Aruba,1976,71.14,America
Aruba,1977,71.441,America
Aruba,1978,71.737,America
Aruba,1979,72.023,America
Aruba,1980,72.294,America
Aruba,1981,72.539,America
Aruba,1982,72.752,America
Aruba,1983,72.929,America
Aruba,1984,73.071,America
Aruba,1985,73.181,America
Aruba,1986,73.262,America
Aruba,1987,73.325,America
Aruba,1988,73.378,America
Aruba,1989,73.425,America
Aruba,1990,73.468,America
Aruba,1991,73.509,America
Aruba,1992,73.544,America
Aruba,1993,73.573,America
Aruba,1994,73.598,America
Aruba,1995,73.622,America
Aruba,1996,73.645,America
Aruba,1997,73.669,America
Aruba,1998,73.697,America
Aruba,1999,73.734,America
Aruba,2000,73.783,America
Aruba,2001,73.852,America
Aruba,2002,73.94,America
Aruba,2003,74.048,America
Aruba,2004,74.175,America
Aruba,2005,74.316,America
Aruba,2006,74.467,America
Aruba,2007,74.621,America
Aruba,2008,74.772,America
Aruba,2009,74.919,America
Aruba,2010,75.059,America
Aruba,2011,75.193,America
Aruba,2012,75.324,America
Aruba,2013,75.455,America
Australia,1964,70.65,East Asia & Pacific
Australia,1965,70.98,East Asia & Pacific
Australia,1966,70.82,East Asia & Pacific
Australia,1967,71.1,East Asia & Pacific
Australia,1968,70.73,East Asia & Pacific
Australia,1969,71.14,East Asia & Pacific
Australia,1970,70.81,East Asia & Pacific
Australia,1971,71.41,East Asia & Pacific
Australia,1972,71.93,East Asia & Pacific
Australia,1973,72.14,East Asia & Pacific
Australia,1974,71.89,East Asia & Pacific
Australia,1975,72.84,East Asia & Pacific
Australia,1976,72.88,East Asia & Pacific
Australia,1977,73.49,East Asia & Pacific
Australia,1978,73.88,East Asia & Pacific
Australia,1979,74.44,East Asia & Pacific
Australia,1980,74.6,East Asia & Pacific
Australia,1981,74.96,East Asia & Pacific
Australia,1982,74.74,East Asia & Pacific
Australia,1983,75.55,East Asia & Pacific
Australia,1984,76.02,East Asia & Pacific
Australia,1985,75.45,East Asia & Pacific
Australia,1986,76.13,East Asia & Pacific
Australia,1987,76.32,East Asia & Pacific
Australia,1988,76.35,East Asia & Pacific
Australia,1989,76.45,East Asia & Pacific
Australia,1990,77.05,East Asia & Pacific
Australia,1991,77.54,East Asia & Pacific
Australia,1992,77.54,East Asia & Pacific
Australia,1993,78.07,East Asia & Pacific
Australia,1994,78.07,East Asia & Pacific
Australia,1995,78.45,East Asia & Pacific
Australia,1996,78.53,East Asia & Pacific
Australia,1997,78.79,East Asia & Pacific
Australia,1998,79.28,East Asia & Pacific
Australia,1999,79.53,East Asia & Pacific
Australia,2000,79.93,East Asia & Pacific
Australia,2001,80.27,East Asia & Pacific
Australia,2002,80.29,East Asia & Pacific
Australia,2003,80.69,East Asia & Pacific
Australia,2004,81.04,East Asia & Pacific
Australia,2005,81.44,East Asia & Pacific
Australia,2006,81.63,East Asia & Pacific
Australia,2007,81.67,East Asia & Pacific
Australia,2008,81.567,East Asia & Pacific
Australia,2009,81.937,East Asia & Pacific
Australia,2010,82.091,East Asia & Pacific
Australia,2011,82.231,East Asia & Pacific
Australia,2012,82.364,East Asia & Pacific
Australia,2013,82.496,East Asia & Pacific
Austria,1964,70.16,Europe & Central Asia
Austria,1965,69.95,Europe & Central Asia
Austria,1966,70.26,Europe & Central Asia
Austria,1967,70.14,Europe & Central Asia
Austria,1968,70.29,Europe & Central Asia
Austria,1969,70.06,Europe & Central Asia
Austria,1970,70.11,Europe & Central Asia
Austria,1971,70.31,Europe & Central Asia
Austria,1972,70.63,Europe & Central Asia
Austria,1973,71.21,Europe & Central Asia
Austria,1974,71.2,Europe & Central Asia
Austria,1975,71.33,Europe & Central Asia
Austria,1976,71.82,Europe & Central Asia
Austria,1977,72.17,Europe & Central Asia
Austria,1978,72.25,Europe & Central Asia
Austria,1979,72.56,Europe & Central Asia
Austria,1980,72.7,Europe & Central Asia
Austria,1981,73.02,Europe & Central Asia
Austria,1982,73.18,Europe & Central Asia
Austria,1983,73.25,Europe & Central Asia
Austria,1984,73.79,Europe & Central Asia
Austria,1985,74.01,Europe & Central Asia
Austria,1986,74.49,Europe & Central Asia
Austria,1987,74.93,Europe & Central Asia
Austria,1988,75.41,Europe & Central Asia
Austria,1989,75.5,Europe & Central Asia
Austria,1990,75.77,Europe & Central Asia
Austria,1991,75.83,Europe & Central Asia
Austria,1992,76.04,Europe & Central Asia
Austria,1993,76.27,Europe & Central Asia
Austria,1994,76.59,Europe & Central Asia
Austria,1995,76.83,Europe & Central Asia
Austria,1996,77.1,Europe & Central Asia
Austria,1997,77.5,Europe & Central Asia
Austria,1998,77.87,Europe & Central Asia
Austria,1999,78.05,Europe & Central Asia
Austria,2000,78.33,Europe & Central Asia
Austria,2001,78.83,Europe & Central Asia
Austria,2002,78.96,Europe & Central Asia
Austria,2003,78.96,Europe & Central Asia
Austria,2004,79.47,Europe & Central Asia
Austria,2005,79.64,Europe & Central Asia
Austria,2006,80.1,Europe & Central Asia
Austria,2007,80.3,Europe & Central Asia
Austria,2008,80.51,Europe & Central Asia
Austria,2009,80.392,Europe & Central Asia
Austria,2010,80.595,Europe & Central Asia
Austria,2011,80.785,Europe & Central Asia
Austria,2012,80.965,Europe & Central Asia
Austria,2013,81.137,Europe & Central Asia
Azerbaijan,1964,62.701,Europe & Central Asia
Azerbaijan,1965,63.117,Europe & Central Asia
Azerbaijan,1966,63.533,Europe & Central Asia
Azerbaijan,1967,63.945,Europe & Central Asia
Azerbaijan,1968,64.342,Europe & Central Asia
Azerbaijan,1969,64.712,Europe & Central Asia
Azerbaijan,1970,65.035,Europe & Central Asia
Azerbaijan,1971,65.287,Europe & Central Asia
Azerbaijan,1972,65.457,Europe & Central Asia
Azerbaijan,1973,65.545,Europe & Central Asia
Azerbaijan,1974,65.554,Europe & Central Asia
Azerbaijan,1975,65.496,Europe & Central Asia
Azerbaijan,1976,65.387,Europe & Central Asia
Azerbaijan,1977,65.254,Europe & Central Asia
Azerbaijan,1978,65.124,Europe & Central Asia
Azerbaijan,1979,65.017,Europe & Central Asia
Azerbaijan,1980,64.964,Europe & Central Asia
Azerbaijan,1981,64.996,Europe & Central Asia
Azerbaijan,1982,65.108,Europe & Central Asia
Azerbaijan,1983,65.283,Europe & Central Asia
Azerbaijan,1984,65.499,Europe & Central Asia
Azerbaijan,1985,65.695,Europe & Central Asia
Azerbaijan,1986,65.796,Europe & Central Asia
Azerbaijan,1987,65.757,Europe & Central Asia
Azerbaijan,1988,65.567,Europe & Central Asia
Azerbaijan,1989,65.246,Europe & Central Asia
Azerbaijan,1990,64.858,Europe & Central Asia
Azerbaijan,1991,64.494,Europe & Central Asia
Azerbaijan,1992,64.245,Europe & Central Asia
Azerbaijan,1993,64.171,Europe & Central Asia
Azerbaijan,1994,64.291,Europe & Central Asia
Azerbaijan,1995,64.591,Europe & Central Asia
Azerbaijan,1996,65.023,Europe & Central Asia
Azerbaijan,1997,65.511,Europe & Central Asia
Azerbaijan,1998,65.99,Europe & Central Asia
Azerbaijan,1999,66.438,Europe & Central Asia
Azerbaijan,2000,66.851,Europe & Central Asia
Azerbaijan,2001,67.249,Europe & Central Asia
Azerbaijan,2002,67.662,Europe & Central Asia
Azerbaijan,2003,68.105,Europe & Central Asia
Azerbaijan,2004,68.57,Europe & Central Asia
Azerbaijan,2005,69.033,Europe & Central Asia
Azerbaijan,2006,69.466,Europe & Central Asia
Azerbaijan,2007,69.841,Europe & Central Asia
Azerbaijan,2008,70.142,Europe & Central Asia
Azerbaijan,2009,70.366,Europe & Central Asia
Azerbaijan,2010,70.518,Europe & Central Asia
Azerbaijan,2011,70.616,Europe & Central Asia
Azerbaijan,2012,70.686,Europe & Central Asia
Azerbaijan,2013,70.753,Europe & Central Asia
Bahamas,1964,64.189,America
Bahamas,1965,64.498,America
Bahamas,1966,64.8,America
Bahamas,1967,65.095,America
Bahamas,1968,65.383,America
Bahamas,1969,65.665,America
Bahamas,1970,65.943,America
Bahamas,1971,66.218,America
Bahamas,1972,66.49,America
Bahamas,1973,66.759,America
Bahamas,1974,67.027,America
Bahamas,1975,67.291,America
Bahamas,1976,67.55,America
Bahamas,1977,67.803,America
Bahamas,1978,68.05,America
Bahamas,1979,68.29,America
Bahamas,1980,68.524,America
Bahamas,1981,68.755,America
Bahamas,1982,68.984,America
Bahamas,1983,69.212,America
Bahamas,1984,69.438,America
Bahamas,1985,69.663,America
Bahamas,1986,69.886,America
Bahamas,1987,70.104,America
Bahamas,1988,70.316,America
Bahamas,1989,70.518,America
Bahamas,1990,70.705,America
Bahamas,1991,70.869,America
Bahamas,1992,71.01,America
Bahamas,1993,71.131,America
Bahamas,1994,71.239,America
Bahamas,1995,71.351,America
Bahamas,1996,71.482,America
Bahamas,1997,71.646,America
Bahamas,1998,71.85,America
Bahamas,1999,72.093,America
Bahamas,2000,72.37,America
Bahamas,2001,72.668,America
Bahamas,2002,72.971,America
Bahamas,2003,73.264,America
Bahamas,2004,73.538,America
Bahamas,2005,73.787,America
Bahamas,2006,74.011,America
Bahamas,2007,74.216,America
Bahamas,2008,74.407,America
Bahamas,2009,74.587,America
Bahamas,2010,74.757,America
Bahamas,2011,74.92,America
Bahamas,2012,75.079,America
Bahamas,2013,75.237,America
Bahrain,1964,57.182,Middle East & North Africa
Bahrain,1965,58.389,Middle East & North Africa
Bahrain,1966,59.526,Middle East & North Africa
Bahrain,1967,60.599,Middle East & North Africa
Bahrain,1968,61.611,Middle East & North Africa
Bahrain,1969,62.562,Middle East & North Africa
Bahrain,1970,63.45,Middle East & North Africa
Bahrain,1971,64.276,Middle East & North Africa
Bahrain,1972,65.043,Middle East & North Africa
Bahrain,1973,65.757,Middle East & North Africa
Bahrain,1974,66.421,Middle East & North Africa
Bahrain,1975,67.04,Middle East & North Africa
Bahrain,1976,67.615,Middle East & North Africa
Bahrain,1977,68.151,Middle East & North Africa
Bahrain,1978,68.65,Middle East & North Africa
Bahrain,1979,69.116,Middle East & North Africa
Bahrain,1980,69.549,Middle East & North Africa
Bahrain,1981,69.95,Middle East & North Africa
Bahrain,1982,70.319,Middle East & North Africa
Bahrain,1983,70.656,Middle East & North Africa
Bahrain,1984,70.965,Middle East & North Africa
Bahrain,1985,71.248,Middle East & North Africa
Bahrain,1986,71.507,Middle East & North Africa
Bahrain,1987,71.745,Middle East & North Africa
Bahrain,1988,71.967,Middle East & North Africa
Bahrain,1989,72.177,Middle East & North Africa
Bahrain,1990,72.382,Middle East & North Africa
Bahrain,1991,72.587,Middle East & North Africa
Bahrain,1992,72.794,Middle East & North Africa
Bahrain,1993,73.004,Middle East & North Africa
Bahrain,1994,73.22,Middle East & North Africa
Bahrain,1995,73.439,Middle East & North Africa
Bahrain,1996,73.661,Middle East & North Africa
Bahrain,1997,73.879,Middle East & North Africa
Bahrain,1998,74.092,Middle East & North Africa
Bahrain,1999,74.298,Middle East & North Africa
Bahrain,2000,74.497,Middle East & North Africa
Bahrain,2001,74.69,Middle East & North Africa
Bahrain,2002,74.879,Middle East & North Africa
Bahrain,2003,75.064,Middle East & North Africa
Bahrain,2004,75.247,Middle East & North Africa
Bahrain,2005,75.424,Middle East & North Africa
Bahrain,2006,75.595,Middle East & North Africa
Bahrain,2007,75.759,Middle East & North Africa
Bahrain,2008,75.914,Middle East & North Africa
Bahrain,2009,76.062,Middle East & North Africa
Bahrain,2010,76.203,Middle East & North Africa
Bahrain,2011,76.339,Middle East & North Africa
Bahrain,2012,76.474,Middle East & North Africa
Bahrain,2013,76.608,Middle East & North Africa
Bangladesh,1964,49.297,South Asia
Bangladesh,1965,49.652,South Asia
Bangladesh,1966,49.734,South Asia
Bangladesh,1967,49.509,South Asia
Bangladesh,1968,49.008,South Asia
Bangladesh,1969,48.307,South Asia
Bangladesh,1970,47.58,South Asia
Bangladesh,1971,47.046,South Asia
Bangladesh,1972,46.874,South Asia
Bangladesh,1973,47.162,South Asia
Bangladesh,1974,47.918,South Asia
Bangladesh,1975,49.061,South Asia
Bangladesh,1976,50.435,South Asia
Bangladesh,1977,51.828,South Asia
Bangladesh,1978,53.071,South Asia
Bangladesh,1979,54.093,South Asia
Bangladesh,1980,54.872,South Asia
Bangladesh,1981,55.446,South Asia
Bangladesh,1982,55.921,South Asia
Bangladesh,1983,56.384,South Asia
Bangladesh,1984,56.861,South Asia
Bangladesh,1985,57.368,South Asia
Bangladesh,1986,57.9,South Asia
Bangladesh,1987,58.439,South Asia
Bangladesh,1988,58.97,South Asia
Bangladesh,1989,59.493,South Asia
Bangladesh,1990,60.014,South Asia
Bangladesh,1991,60.537,South Asia
Bangladesh,1992,61.066,South Asia
Bangladesh,1993,61.602,South Asia
Bangladesh,1994,62.146,South Asia
Bangladesh,1995,62.693,South Asia
Bangladesh,1996,63.24,South Asia
Bangladesh,1997,63.78,South Asia
Bangladesh,1998,64.307,South Asia
Bangladesh,1999,64.819,South Asia
Bangladesh,2000,65.309,South Asia
Bangladesh,2001,65.777,South Asia
Bangladesh,2002,66.223,South Asia
Bangladesh,2003,66.651,South Asia
Bangladesh,2004,67.064,South Asia
Bangladesh,2005,67.465,South Asia
Bangladesh,2006,67.86,South Asia
Bangladesh,2007,68.253,South Asia
Bangladesh,2008,68.648,South Asia
Bangladesh,2009,69.046,South Asia
Bangladesh,2010,69.449,South Asia
Bangladesh,2011,69.854,South Asia
Bangladesh,2012,70.258,South Asia
Bangladesh,2013,70.657,South Asia
Barbados,1964,62.819,America
Barbados,1965,63.236,America
