population,Country,Year,region
30354240,Argentina,1985,America
30810984,Argentina,1986,America
31269799,Argentina,1987,America
31729130,Argentina,1988,America
32187173,Argentina,1989,America
32642442,Argentina,1990,America
33093579,Argentina,1991,America
33540023,Argentina,1992,America
33982035,Argentina,1993,America
34420352,Argentina,1994,America
34855160,Argentina,1995,America
35287113,Argentina,1996,America
35714929,Argentina,1997,America
36134642,Argentina,1998,America
36541029,Argentina,1999,America
36930709,Argentina,2000,America
37302116,Argentina,2001,America
37657340,Argentina,2002,America
38001251,Argentina,2003,America
38340778,Argentina,2004,America
38681174,Argentina,2005,America
39023850,Argentina,2006,America
39368066,Argentina,2007,America
39714298,Argentina,2008,America
40062470,Argentina,2009,America
40412376,Argentina,2010,America
40764561,Argentina,2011,America
41118986,Argentina,2012,America
41473982,Argentina,2013,America
2138133,Armenia,1964,Europe & Central Asia
2204650,Armenia,1965,Europe & Central Asia
2269475,Armenia,1966,Europe & Central Asia
2332624,Armenia,1967,Europe & Central Asia
2394635,Armenia,1968,Europe & Central Asia
2456370,Armenia,1969,Europe & Central Asia
2518408,Armenia,1970,Europe & Central Asia
2580894,Armenia,1971,Europe & Central Asia
2643464,Armenia,1972,Europe & Central Asia
2705584,Armenia,1973,Europe & Central Asia
2766495,Armenia,1974,Europe & Central Asia
2825650,Armenia,1975,Europe & Central Asia
2882831,Armenia,1976,Europe & Central Asia
2938181,Armenia,1977,Europe & Central Asia
2991954,Armenia,1978,Europe & Central Asia
3044564,Armenia,1979,Europe & Central Asia
3096298,Armenia,1980,Europe & Central Asia
3145885,Armenia,1981,Europe & Central Asia
3192877,Armenia,1982,Europe & Central Asia
3239212,Armenia,1983,Europe & Central Asia
3287588,Armenia,1984,Europe & Central Asia
3339147,Armenia,1985,Europe & Central Asia
3396511,Armenia,1986,Europe & Central Asia
3457054,Armenia,1987,Europe & Central Asia
3510439,Armenia,1988,Europe & Central Asia
3542720,Armenia,1989,Europe & Central Asia
3544695,Armenia,1990,Europe & Central Asia
3512051,Armenia,1991,Europe & Central Asia
3449940,Armenia,1992,Europe & Central Asia
3370373,Armenia,1993,Europe & Central Asia
3290540,Armenia,1994,Europe & Central Asia
3223173,Armenia,1995,Europe & Central Asia
3172185,Armenia,1996,Europe & Central Asia
3134836,Armenia,1997,Europe & Central Asia
3109101,Armenia,1998,Europe & Central Asia
3090624,Armenia,1999,Europe & Central Asia
3076098,Armenia,2000,Europe & Central Asia
3065810,Armenia,2001,Europe & Central Asia
3061067,Armenia,2002,Europe & Central Asia
3060554,Armenia,2003,Europe & Central Asia
3062612,Armenia,2004,Europe & Central Asia
3065954,Armenia,2005,Europe & Central Asia
3069844,Armenia,2006,Europe & Central Asia
3074181,Armenia,2007,Europe & Central Asia
3079087,Armenia,2008,Europe & Central Asia
3084979,Armenia,2009,Europe & Central Asia
3092072,Armenia,2010,Europe & Central Asia
3100236,Armenia,2011,Europe & Central Asia
3108972,Armenia,2012,Europe & Central Asia
3117722,Armenia,2013,Europe & Central Asia
57031,Aruba,1964,America
57362,Aruba,1965,America
57714,Aruba,1966,America
58052,Aruba,1967,America
58388,Aruba,1968,America
58725,Aruba,1969,America
59066,Aruba,1970,America
59439,Aruba,1971,America
59849,Aruba,1972,America
60238,Aruba,1973,America
60524,Aruba,1974,America
60654,Aruba,1975,America
60589,Aruba,1976,America
60366,Aruba,1977,America
60108,Aruba,1978,America
59980,Aruba,1979,America
60099,Aruba,1980,America
60570,Aruba,1981,America
61347,Aruba,1982,America
62208,Aruba,1983,America
62833,Aruba,1984,America
63030,Aruba,1985,America
62645,Aruba,1986,America
61830,Aruba,1987,America
61069,Aruba,1988,America
61026,Aruba,1989,America
62147,Aruba,1990,America
64642,Aruba,1991,America
68286,Aruba,1992,America
72573,Aruba,1993,America
76762,Aruba,1994,America
80323,Aruba,1995,America
83069,Aruba,1996,America
85161,Aruba,1997,America
86827,Aruba,1998,America
88442,Aruba,1999,America
90271,Aruba,2000,America
92363,Aruba,2001,America
94596,Aruba,2002,America
96875,Aruba,2003,America
99046,Aruba,2004,America
100996,Aruba,2005,America
102711,Aruba,2006,America
104225,Aruba,2007,America
105526,Aruba,2008,America
106612,Aruba,2009,America
107488,Aruba,2010,America
108141,Aruba,2011,America
108587,Aruba,2012,America
108883,Aruba,2013,America
11122567,Australia,1964,East Asia & Pacific
11359763,Australia,1965,East Asia & Pacific
11617580,Australia,1966,East Asia & Pacific
11892163,Australia,1967,East Asia & Pacific
12175746,Australia,1968,East Asia & Pacific
12457299,Australia,1969,East Asia & Pacific
12728362,Australia,1970,East Asia & Pacific
12987847,Australia,1971,East Asia & Pacific
13236895,Australia,1972,East Asia & Pacific
13472175,Australia,1973,East Asia & Pacific
13690285,Australia,1974,East Asia & Pacific
13889696,Australia,1975,East Asia & Pacific
14067994,Australia,1976,East Asia & Pacific
14227905,Australia,1977,East Asia & Pacific
14379565,Australia,1978,East Asia & Pacific
14536839,Australia,1979,East Asia & Pacific
14709918,Australia,1980,East Asia & Pacific
14901610,Australia,1981,East Asia & Pacific
15109659,Australia,1982,East Asia & Pacific
15332790,Australia,1983,East Asia & Pacific
15567927,Australia,1984,East Asia & Pacific
15812088,Australia,1985,East Asia & Pacific
16066496,Australia,1986,East Asia & Pacific
16330369,Australia,1987,East Asia & Pacific
16596096,Australia,1988,East Asia & Pacific
16853690,Australia,1989,East Asia & Pacific
17096153,Australia,1990,East Asia & Pacific
17320633,Australia,1991,East Asia & Pacific
17529469,Australia,1992,East Asia & Pacific
17727413,Australia,1993,East Asia & Pacific
17921818,Australia,1994,East Asia & Pacific
18118416,Australia,1995,East Asia & Pacific
18319637,Australia,1996,East Asia & Pacific
18525153,Australia,1997,East Asia & Pacific
18734878,Australia,1998,East Asia & Pacific
18947894,Australia,1999,East Asia & Pacific
19164351,Australia,2000,East Asia & Pacific
19382188,Australia,2001,East Asia & Pacific
19604051,Australia,2002,East Asia & Pacific
19840120,Australia,2003,East Asia & Pacific
20103822,Australia,2004,East Asia & Pacific
20403520,Australia,2005,East Asia & Pacific
20744295,Australia,2006,East Asia & Pacific
21119988,Australia,2007,East Asia & Pacific
21513817,Australia,2008,East Asia & Pacific
21902300,Australia,2009,East Asia & Pacific
22268384,Australia,2010,East Asia & Pacific
22605732,Australia,2011,East Asia & Pacific
22918688,Australia,2012,East Asia & Pacific
23213944,Australia,2013,East Asia & Pacific
7220812,Austria,1964,Europe & Central Asia
7268015,Austria,1965,Europe & Central Asia
7312775,Austria,1966,Europe & Central Asia
7355039,Austria,1967,Europe & Central Asia
7394601,Austria,1968,Europe & Central Asia
7431574,Austria,1969,Europe & Central Asia
7465908,Austria,1970,Europe & Central Asia
7497731,Austria,1971,Europe & Central Asia
7526469,Austria,1972,Europe & Central Asia
7550638,Austria,1973,Europe & Central Asia
7568347,Austria,1974,Europe & Central Asia
7578498,Austria,1975,Europe & Central Asia
7580564,Austria,1976,Europe & Central Asia
7575669,Austria,1977,Europe & Central Asia
7566450,Austria,1978,Europe & Central Asia
7556551,Austria,1979,Europe & Central Asia
7548798,Austria,1980,Europe & Central Asia
7544359,Austria,1981,Europe & Central Asia
7543194,Austria,1982,Europe & Central Asia
7545472,Austria,1983,Europe & Central Asia
7550960,Austria,1984,Europe & Central Asia
7559621,Austria,1985,Europe & Central Asia
7570906,Austria,1986,Europe & Central Asia
7585345,Austria,1987,Europe & Central Asia
7605095,Austria,1988,Europe & Central Asia
7632984,Austria,1989,Europe & Central Asia
7670513,Austria,1990,Europe & Central Asia
7719577,Austria,1991,Europe & Central Asia
7778255,Austria,1992,Europe & Central Asia
7839625,Austria,1993,Europe & Central Asia
7894229,Austria,1994,Europe & Central Asia
7935624,Austria,1995,Europe & Central Asia
7960464,Austria,1996,Europe & Central Asia
7971553,Austria,1997,Europe & Central Asia
7976117,Austria,1998,Europe & Central Asia
7984694,Austria,1999,Europe & Central Asia
8004712,Austria,2000,Europe & Central Asia
8038480,Austria,2001,Europe & Central Asia
8083059,Austria,2002,Europe & Central Asia
8134235,Austria,2003,Europe & Central Asia
8185553,Austria,2004,Europe & Central Asia
8232196,Austria,2005,Europe & Central Asia
8273208,Austria,2006,Europe & Central Asia
8309783,Austria,2007,Europe & Central Asia
8341806,Austria,2008,Europe & Central Asia
8369639,Austria,2009,Europe & Central Asia
8393644,Austria,2010,Europe & Central Asia
8413429,Austria,2011,Europe & Central Asia
8428915,Austria,2012,Europe & Central Asia
8441263,Austria,2013,Europe & Central Asia
4440733,Azerbaijan,1964,Europe & Central Asia
4574500,Azerbaijan,1965,Europe & Central Asia
4702919,Azerbaijan,1966,Europe & Central Asia
4826262,Azerbaijan,1967,Europe & Central Asia
4944932,Azerbaijan,1968,Europe & Central Asia
5059921,Azerbaijan,1969,Europe & Central Asia
5172002,Azerbaijan,1970,Europe & Central Asia
5281238,Azerbaijan,1971,Europe & Central Asia
5387375,Azerbaijan,1972,Europe & Central Asia
5490572,Azerbaijan,1973,Europe & Central Asia
5591016,Azerbaijan,1974,Europe & Central Asia
5688997,Azerbaijan,1975,Europe & Central Asia
5784587,Azerbaijan,1976,Europe & Central Asia
5878259,Azerbaijan,1977,Europe & Central Asia
5971198,Azerbaijan,1978,Europe & Central Asia
6064905,Azerbaijan,1979,Europe & Central Asia
6160502,Azerbaijan,1980,Europe & Central Asia
6258490,Azerbaijan,1981,Europe & Central Asia
6358780,Azerbaijan,1982,Europe & Central Asia
6461139,Azerbaijan,1983,Europe & Central Asia
6565062,Azerbaijan,1984,Europe & Central Asia
6670151,Azerbaijan,1985,Europe & Central Asia
6775858,Azerbaijan,1986,Europe & Central Asia
6882160,Azerbaijan,1987,Europe & Central Asia
6989708,Azerbaijan,1988,Europe & Central Asia
7099449,Azerbaijan,1989,Europe & Central Asia
7211692,Azerbaijan,1990,Europe & Central Asia
7327570,Azerbaijan,1991,Europe & Central Asia
7445925,Azerbaijan,1992,Europe & Central Asia
7562075,Azerbaijan,1993,Europe & Central Asia
7669735,Azerbaijan,1994,Europe & Central Asia
7764798,Azerbaijan,1995,Europe & Central Asia
7845310,Azerbaijan,1996,Europe & Central Asia
7913692,Azerbaijan,1997,Europe & Central Asia
7975648,Azerbaijan,1998,Europe & Central Asia
8039312,Azerbaijan,1999,Europe & Central Asia
8110723,Azerbaijan,2000,Europe & Central Asia
8191464,Azerbaijan,2001,Europe & Central Asia
8280252,Azerbaijan,2002,Europe & Central Asia
8376733,Azerbaijan,2003,Europe & Central Asia
8479668,Azerbaijan,2004,Europe & Central Asia
8587902,Azerbaijan,2005,Europe & Central Asia
8701719,Azerbaijan,2006,Europe & Central Asia
8821012,Azerbaijan,2007,Europe & Central Asia
8943600,Azerbaijan,2008,Europe & Central Asia
9066604,Azerbaijan,2009,Europe & Central Asia
9187783,Azerbaijan,2010,Europe & Central Asia
9306023,Azerbaijan,2011,Europe & Central Asia
9421233,Azerbaijan,2012,Europe & Central Asia
9533445,Azerbaijan,2013,Europe & Central Asia
133709,Bahamas,1964,America
140063,Bahamas,1965,America
146379,Bahamas,1966,America
152623,Bahamas,1967,America
158644,Bahamas,1968,America
164263,Bahamas,1969,America
169367,Bahamas,1970,America
173875,Bahamas,1971,America
177849,Bahamas,1972,America
181490,Bahamas,1973,America
185091,Bahamas,1974,America
188870,Bahamas,1975,America
192885,Bahamas,1976,America
197090,Bahamas,1977,America
201474,Bahamas,1978,America
205990,Bahamas,1979,America
210600,Bahamas,1980,America
215330,Bahamas,1981,America
220188,Bahamas,1982,America
225083,Bahamas,1983,America
229899,Bahamas,1984,America
234553,Bahamas,1985,America
238989,Bahamas,1986,America
243236,Bahamas,1987,America
247409,Bahamas,1988,America
251671,Bahamas,1989,America
256128,Bahamas,1990,America
260845,Bahamas,1991,America
265761,Bahamas,1992,America
270701,Bahamas,1993,America
275426,Bahamas,1994,America
279774,Bahamas,1995,America
283677,Bahamas,1996,America
287217,Bahamas,1997,America
290571,Bahamas,1998,America
293988,Bahamas,1999,America
297651,Bahamas,2000,America
301606,Bahamas,2001,America
305801,Bahamas,2002,America
310201,Bahamas,2003,America
314739,Bahamas,2004,America
319358,Bahamas,2005,America
324066,Bahamas,2006,America
328861,Bahamas,2007,America
333661,Bahamas,2008,America
338358,Bahamas,2009,America
342877,Bahamas,2010,America
347176,Bahamas,2011,America
351275,Bahamas,2012,America
355233,Bahamas,2013,America
181833,Bahrain,1964,Middle East & North Africa
186351,Bahrain,1965,Middle East & North Africa
190734,Bahrain,1966,Middle East & North Africa
195111,Bahrain,1967,Middle East & North Africa
199818,Bahrain,1968,Middle East & North Africa
205291,Bahrain,1969,Middle East & North Africa
211878,Bahrain,1970,Middle East & North Africa
219532,Bahrain,1971,Middle East & North Africa
228255,Bahrain,1972,Middle East & North Africa
238468,Bahrain,1973,Middle East & North Africa
250683,Bahrain,1974,Middle East & North Africa
265160,Bahrain,1975,Middle East & North Africa
282245,Bahrain,1976,Middle East & North Africa
301559,Bahrain,1977,Middle East & North Africa
321751,Bahrain,1978,Middle East & North Africa
340980,Bahrain,1979,Middle East & North Africa
357957,Bahrain,1980,Middle East & North Africa
372074,Bahrain,1981,Middle East & North Africa
383785,Bahrain,1982,Middle East & North Africa
394164,Bahrain,1983,Middle East & North Africa
404829,Bahrain,1984,Middle East & North Africa
416929,Bahrain,1985,Middle East & North Africa
430845,Bahrain,1986,Middle East & North Africa
446142,Bahrain,1987,Middle East & North Africa
462184,Bahrain,1988,Middle East & North Africa
477995,Bahrain,1989,Middle East & North Africa
492891,Bahrain,1990,Middle East & North Africa
506685,Bahrain,1991,Middle East & North Africa
519696,Bahrain,1992,Middle East & North Africa
532362,Bahrain,1993,Middle East & North Africa
545329,Bahrain,1994,Middle East & North Africa
559069,Bahrain,1995,Middle East & North Africa
574914,Bahrain,1996,Middle East & North Africa
592986,Bahrain,1997,Middle East & North Africa
611237,Bahrain,1998,Middle East & North Africa
626765,Bahrain,1999,Middle East & North Africa
638193,Bahrain,2000,Middle East & North Africa
642510,Bahrain,2001,Middle East & North Africa
642070,Bahrain,2002,Middle East & North Africa
647164,Bahrain,2003,Middle East & North Africa
671760,Bahrain,2004,Middle East & North Africa
724807,Bahrain,2005,Middle East & North Africa
811410,Bahrain,2006,Middle East & North Africa
925733,Bahrain,2007,Middle East & North Africa
1052359,Bahrain,2008,Middle East & North Africa
1169578,Bahrain,2009,Middle East & North Africa
1261835,Bahrain,2010,Middle East & North Africa
1323535,Bahrain,2011,Middle East & North Africa
1359485,Bahrain,2012,Middle East & North Africa
1377273,Bahrain,2013,Middle East & North Africa
56071080,Bangladesh,1964,South Asia
57791778,Bangladesh,1965,South Asia
59681186,Bangladesh,1966,South Asia
61702785,Bangladesh,1967,South Asia
63703327,Bangladesh,1968,South Asia
65474474,Bangladesh,1969,South Asia
66881158,Bangladesh,1970,South Asia
67849312,Bangladesh,1971,South Asia
68461849,Bangladesh,1972,South Asia
68933357,Bangladesh,1973,South Asia
69567500,Bangladesh,1974,South Asia
70582168,Bangladesh,1975,South Asia
72053923,Bangladesh,1976,South Asia
73915723,Bangladesh,1977,South Asia
76066342,Bangladesh,1978,South Asia
78342736,Bangladesh,1979,South Asia
80624423,Bangladesh,1980,South Asia
82883616,Bangladesh,1981,South Asia
85156396,Bangladesh,1982,South Asia
87459802,Bangladesh,1983,South Asia
89828434,Bangladesh,1984,South Asia
92283598,Bangladesh,1985,South Asia
94825499,Bangladesh,1986,South Asia
97429290,Bangladesh,1987,South Asia
100062322,Bangladesh,1988,South Asia
102681627,Bangladesh,1989,South Asia
105256026,Bangladesh,1990,South Asia
107768749,Bangladesh,1991,South Asia
110225555,Bangladesh,1992,South Asia
112645460,Bangladesh,1993,South Asia
115059015,Bangladesh,1994,South Asia
117486952,Bangladesh,1995,South Asia
119928682,Bangladesh,1996,South Asia
122370403,Bangladesh,1997,South Asia
124803351,Bangladesh,1998,South Asia
127214841,Bangladesh,1999,South Asia
129592275,Bangladesh,2000,South Asia
131944584,Bangladesh,2001,South Asia
134266428,Bangladesh,2002,South Asia
136514768,Bangladesh,2003,South Asia
138633401,Bangladesh,2004,South Asia
140587922,Bangladesh,2005,South Asia
142353501,Bangladesh,2006,South Asia
143956805,Bangladesh,2007,South Asia
145478300,Bangladesh,2008,South Asia
147030145,Bangladesh,2009,South Asia
148692131,Bangladesh,2010,South Asia
150493658,Bangladesh,2011,South Asia
152408774,Bangladesh,2012,South Asia
154393847,Bangladesh,2013,South Asia
234455,Barbados,1964,America
235271,Barbados,1965,America
235912,Barbados,1966,America
236443,Barbados,1967,America
236974,Barbados,1968,America
237657,Barbados,1969,America
238593,Barbados,1970,America
239841,Barbados,1971,America
241345,Barbados,1972,America
242949,Barbados,1973,America
244433,Barbados,1974,America
245646,Barbados,1975,America
246523,Barbados,1976,America
247128,Barbados,1977,America
247589,Barbados,1978,America
248101,Barbados,1979,America
248796,Barbados,1980,America
